,symbol,beta,volAvg,mktCap,lastDiv,range,changes,companyName,currency,cik,isin,cusip,exchange,exchangeShortName,industry,website,description,ceo,sector,country,fullTimeEmployees,phone,address,city,state,zip,dcfDiff,dcf,image,ipoDate,defaultImage,isEtf,isActivelyTrading,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,volume,avgVolume,exchange,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp,held,totalheld,ratingdate,rating,ratingScore,ratingRecommendation,ratingDetailsDCFScore,ratingDetailsDCFRecommendation,ratingDetailsROEScore,ratingDetailsROERecommendation,ratingDetailsROAScore,ratingDetailsROARecommendation,ratingDetailsDEScore,ratingDetailsDERecommendation,ratingDetailsPEScore,ratingDetailsPERecommendation,ratingDetailsPBScore,ratingDetailsPBRecommendation
0,ZM,0.0,4724222,96910934016,0.0,132.67-588.84,-2.43,Zoom Video Communications Inc,USD,0001585521,US98980L1017,98980L101,Nasdaq Global Select,NASDAQ,Telecom Services,https://www.zoom.us,"Zoom Video Communications, Inc. provides a video-first communications platform in the Americas, the Asia Pacific, Europe, the Middle East, and Africa. The company's product portfolio includes Zoom Meetings that offers HD video, voice, chat, and content sharing through mobile devices, desktops, laptops, telephones, and conference room systems; Zoom Phone, an enterprise cloud phone system that provides secure call routing, call queuing, call detail reports, call recording, call quality monitoring, voicemail, switch to video, and other services, as well as inbound and outbound calling services; and Zoom Chat enables sharing messages, images, audio files, and content in desktop, laptop, tablet, and mobile devices for meeting and phone customers. It also offers Zoom Rooms, a software-based conference room system; Zoom Conference Room Connector, a gateway for SIP/H.323 endpoints to join Zoom meetings; and Zoom Video Webinars enables users to conduct large-scale online events, such as town hall meetings, workshops, and marketing presentations. In addition, the company provides Zoom for Developers that allows developers to integrate its video, phone, chat, and content sharing into other applications, as well as manages Zoom accounts; and Zoom App Marketplace enhance developers to publish their apps. It serves education, entertainment/media, enterprise infrastructure, finance, government, healthcare, manufacturing, non-profit/not for profit and social impact, retail/consumer products, and software/Internet industries, as well as individuals. Zoom Video Communications, Inc. has partnership with ServiceNow. The company was formerly known as Zoom Communications, Inc. and changed its name to Zoom Video Communications, Inc. in May 2012. Zoom Video Communications, Inc. was founded in 2011 and is headquartered in San Jose, California.",Mr. Eric Yuan,Communication Services,US,3871,18887999666,55 Almaden Blvd Fl 6,San Jose,CALIFORNIA,95113,,514.303,https://financialmodelingprep.com/image-stock/ZM.png,2019-04-18,False,False,True,329.95,-0.73,-2.43,326.9,333.725,588.84,132.67,96910934016.0,334.61206,402.94568,2415000,4724222,NASDAQ,330.27,332.38,2.252,146.5142,2021-03-01T16:05:00.000+0000,293713999,1618636159,150,49492.5,2021-04-15,A+,4,Buy,5,Strong Buy,3,Neutral,3,Neutral,3,Neutral,5,Strong Buy,5,Strong Buy
1,MSFT,0.85519,30302824,1966558281728,2.14,166.11-260.99,1.24,Microsoft Corp,USD,0000789019,US5949181045,594918104,Nasdaq Global Select,NASDAQ,Software Infrastructure,https://www.microsoft.com/en-us,"Microsoft Corporation develops, licenses, and supports software, services, devices, and solutions worldwide. Its Productivity and Business Processes segment offers Office, Exchange, SharePoint, Microsoft Teams, Office 365 Security and Compliance, and Skype for Business, as well as related Client Access Licenses (CAL); Skype, Outlook.com, and OneDrive; LinkedIn that includes Talent, Learning, Sales, and Marketing solutions, as well as premium subscriptions; and Dynamics 365, a set of cloud-based and on-premises business solutions for small and medium businesses, large organizations, and divisions of enterprises. Its Intelligent Cloud segment licenses SQL and Windows Servers, Visual Studio, System Center, and related CALs; GitHub that provides a collaboration platform and code hosting service for developers; and Azure, a cloud platform. It also offers support services and Microsoft consulting services to assist customers in developing, deploying, and managing Microsoft server and desktop solutions; and training and certification to developers and IT professionals on various Microsoft products. Its More Personal Computing segment provides Windows original equipment manufacturer (OEM) licensing and other non-volume licensing of the Windows operating system; Windows Commercial, such as volume licensing of the Windows operating system, Windows cloud services, and other Windows commercial offerings; patent licensing; Windows Internet of Things; and MSN advertising. It also offers Surface, PC accessories, PCs, tablets, gaming and entertainment consoles, and other intelligent devices; Gaming, including Xbox hardware, and Xbox content and services; video games and third-party video game royalties; and Search, including Bing and Microsoft advertising. It sells its products through OEMs, distributors, and resellers; and directly through digital marketplaces, online stores, and retail stores. The company was founded in 1975 and is headquartered in Redmond, Washington.",Mr. Satya Nadella,Technology,US,163000,14258828080,1 Microsoft Way,Redmond,WASHINGTON,98052,-60.78,216.567,https://financialmodelingprep.com/image-stock/MSFT.png,1986-03-13,False,False,True,260.74,0.48,1.24,257.6014,260.99,260.99,166.11,1966558281728.0,239.2547,225.25716,22828372,30302824,NASDAQ,259.47,259.5,6.707,38.8758,2021-04-27T20:00:00.000+0000,7542219382,1618636160,150,39111.0,2021-04-15,S-,5,Strong Buy,5,Strong Buy,4,Buy,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy
2,SQ,2.67847,11068936,116426907648,0.0,56.86-283.19,-6.98,Square Inc,USD,0001512673,US8522341036,852234103,New York Stock Exchange,NYSE,Software Infrastructure,https://squareup.com/us/en,"Square, Inc. provides, together with its subsidiaries, payment and point-of-sale solutions in the United States and internationally. The company's commerce ecosystem includes point-of-sale software and hardware that offers sellers to payment and point-of-sale solutions. It provides hardware products, including Magstripe reader, which enables swiped transactions of magnetic stripe cards; Contactless and chip reader that accepts Europay, MasterCard, and Visa (EMV) chip cards and Near Field Communication payments; Square Stand, which enables an iPad to be used as a payment terminal or full point of sale solution; Square Register that combines its hardware, point-of-sale software, and payments technology; Square Terminal, a portable payments device that replaces keypad terminals, which accepts various payment types, such as tap, dip, and swipe, as well as prints receipts; and managed payments solutions. The company also offers various software products, including Square Point of Sale; Square Virtual Terminal; Square Appointments; Square for Retail; Square for Restaurants; Square Invoices, Square Online Store; Square Loyalty, Marketing, and Gift Cards; and Square Dashboard. In addition, it offers developer platform, which includes application programming interfaces and software development kits. Further, it provides managed payments, instant transfer, Square Card, Square Capital, and payroll. Additionally, it provides Cash App, which enables to send, spend, and store money; and Weebly that offers customers website hosting and domain name registration solutions. Square, Inc. was founded in 2009 and is headquartered in San Francisco, California.",Mr. Jack Dorsey,Technology,US,3835,14153753176,"1455 Market Street, Suite 600",San Francisco,CALIFORNIA,94103,-81.5,180.067,https://financialmodelingprep.com/image-stock/SQ.png,2015-11-19,False,False,True,256.1,-2.65,-6.98,254.669,263.44,283.19,56.86,116426907648.0,234.4994,216.07101,8420195,11068936,NYSE,263.24,263.08,0.44,582.0455,2021-05-06T20:00:00.000+0000,454615024,1618636160,150,38415.0,2021-04-15,S-,5,Strong Buy,5,Strong Buy,4,Buy,3,Neutral,5,Strong Buy,5,Strong Buy,5,Strong Buy
3,BABA,1.2974,17430762,652155944960,0.0,189.53-319.32,-0.4,Alibaba Group Holding Ltd,USD,0001577552,US01609W1027,01609W102,New York Stock Exchange,NYSE,Internet Retail,https://www.alibabagroup.com/en/global/home,"Alibaba Group Holding Limited, through its subsidiaries, provides online and mobile commerce businesses in the People's Republic of China and internationally. It operates through four segments: Core Commerce, Cloud Computing, Digital Media and Entertainment, and Innovation Initiatives and Others. The company operates Taobao Marketplace, a mobile commerce destination; Tmall, a third-party online and mobile commerce platform for brands and retailers; Alibaba Health Internet platforms for pharmaceutical and healthcare products; Alimama, a monetization platform; 1688.com and Alibaba.com, which are online wholesale marketplaces; AliExpress, a retail marketplace; Lazada, an e-commerce platform; and Tmall Global, an import e-commerce platform. It also operates Lingshoutong, a digital sourcing platform; Cainiao Network logistic services platform; Ele.me, a delivery and local services platform; Koubei, a restaurant and local services guide platform; and Fliggy, an online travel platform. In addition, the company offers pay-for-performance and display marketing services; and Taobao Ad Network and Exchange, a real-time bidding online marketing exchange. Further, it provides elastic computing, database, storage, virtualization network, large-scale computing, security, management and application, big data analytics, and Internet of Things and other services for enterprises; payment and escrow services; and movies, television series, variety shows, animations, and other video content. Additionally, the company operates Youku, an online video platform; Alibaba Pictures and other content platforms that provide online videos, films, live events, news feeds, literature, music, and others; Amap, a mobile digital map, navigation, and real-time traffic information app; DingTalk, a business efficiency app; and Tmall Genie, an AI-powered smart speaker. The company was founded in 1999 and is based in Hangzhou, the People's Republic of China.",Mr. Yong Zhang,Consumer Cyclical,CN,122399,8657185022088,"No.699 Wang Shang Road, Binjiang District",Hangzhou,ZHEJIANG,311121,1550.96,317.812,https://financialmodelingprep.com/image-stock/BABA.png,2014-09-19,False,False,True,238.69,-0.17,-0.4,237.82,241.89,319.32,189.53,652155944960.0,232.84471,260.1706,13481032,17430762,NYSE,241.89,239.09,8.863,26.931063,2021-02-02T07:02:00.000+0000,2732229859,1618636161,150,35803.5,2021-04-15,A+,5,Strong Buy,5,Strong Buy,3,Neutral,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy
4,AAPL,1.33758,106670824,2252291440640,0.82,66.3575-145.09,-0.34,Apple Inc,USD,0000320193,US0378331005,037833100,Nasdaq Global Select,NASDAQ,Consumer Electronics,https://www.apple.com/,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",Mr. Timothy Cook,Technology,US,147000,14089961010,1 Apple Park Way,Cupertino,CALIFORNIA,95014,89.92,127.377,https://financialmodelingprep.com/image-stock/AAPL.png,1980-12-12,False,False,True,134.16,-0.25,-0.34,133.28,134.66,145.09,66.3575,2252291440640.0,124.20206,124.49861,84922386,106670824,NASDAQ,134.3,134.5,3.687,36.387306,2021-04-28T20:00:00.000+0000,16788099587,1618636162,150,20124.0,2021-04-15,S,5,Strong Buy,5,Strong Buy,5,Strong Buy,3,Neutral,5,Strong Buy,5,Strong Buy,5,Strong Buy
5,TSLA,1.91211,33391163,710080856064,0.0,134.758-900.4,0.93,Tesla Inc,USD,0001318605,US88160R1014,88160R101,Nasdaq Global Select,NASDAQ,Auto Manufacturers,https://www.tesla.com/,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, Netherlands, Norway, and internationally. The company operates in two segments, Automotive; and Energy Generation and Storage. The Automotive segment offers sedans and sport utility vehicles. It also provides electric powertrain components and systems; and services for electric vehicles through its company-owned service locations, and Tesla mobile service technicians, as well as sells used vehicles. This segment markets and sells its products through a network of company-owned stores and galleries, as well as through its own Website. The Energy Generation and Storage segment offers energy storage products, such as rechargeable lithium-ion battery systems for use in homes, industrial, commercial facilities, and utility grids; and designs, manufactures, installs, maintains, leases, and sells solar energy generation and energy storage products to residential and commercial customers. It also provides vehicle insurance services, as well as renewable energy. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was founded in 2003 and is headquartered in Palo Alto, California.",Mr. Elon Musk,Consumer Cyclical,US,48016,16506815000,3500 Deer Creek Rd,Palo Alto,CALIFORNIA,94304,12772.3,458.052,https://financialmodelingprep.com/image-stock/TSLA.png,2010-06-29,False,False,True,739.78,0.13,0.93,724.6,749.408,900.4,134.758,710080856064.0,670.39856,631.88965,27635198,33391163,NASDAQ,728.65,738.85,0.64,1155.9064,2021-04-26T20:00:00.000+0000,959854086,1618636162,150,110967.0,2021-04-15,A+,5,Strong Buy,5,Strong Buy,3,Neutral,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy
6,COST,0.67742,3012396,164056203264,12.799999999999997,293.84-393.15,1.92,Costco Wholesale Corp,USD,0000909832,US22160K1051,22160K105,Nasdaq Global Select,NASDAQ,Discount Stores,https://www.costco.com/,"Costco Wholesale Corporation, together with its subsidiaries, engages in the operation of membership warehouses in the United States, Puerto Rico, Canada, the United Kingdom, Mexico, Japan, Korea, Australia, Spain, France, Iceland, China, and Taiwan. It offers branded and private-label products in a range of merchandise categories. The company provides dry and packaged foods, and groceries; snack foods, candies, alcoholic and nonalcoholic beverages, and cleaning supplies; appliances, electronics, health and beauty aids, hardware, and garden and patio products; meat, bakery, and deli products, as well as produce; and apparel and small appliances. It also operates pharmacies, optical dispensing centers, food courts, and hearing-aid centers, as well as 615 gas stations; and offers business delivery, travel, same-day grocery, and various other services online in various countries. As of October 07, 2020, the company operated 796 warehouses, including 552 in the United States and Puerto Rico, 102 in Canada, 39 in Mexico, 29 in the United Kingdom, 27 in Japan, 16 in South Korea, 13 in Taiwan, 12 in Australia, 3 in Spain, 1 in Iceland, 1 in France, and 1 in China. It also operates e-commerce websites in the United States, Canada, the United Kingdom, Mexico, South Korea, Taiwan, Japan, and Australia. The company was formerly known as Costco Companies, Inc. and changed its name to Costco Wholesale Corporation in August 1999. Costco Wholesale Corporation was founded in 1976 and is based in Issaquah, Washington.",Mr. W. Craig Jelinek,Consumer Defensive,US,156000,14253138100,999 Lake Dr,Issaquah,WASHINGTON,98027,-32.86,396.749,https://financialmodelingprep.com/image-stock/COST.png,1985-12-05,False,False,True,370.72,0.52,1.92,368.59,372.8,393.15,293.84,164056203264.0,341.02618,361.13226,2249168,3012396,NASDAQ,369.7,368.8,9.779,37.909805,2021-05-27T16:15:00.000+0000,442533997,1618636163,150,55608.00000000001,2021-04-16,S-,5,Strong Buy,5,Strong Buy,3,Neutral,3,Neutral,5,Strong Buy,5,Strong Buy,5,Strong Buy
7,T,0.64871,42216590,213796880384,2.08,26.35-33.24,0.2,AT&T Inc,USD,0000732717,US00206R1023,00206R102,New York Stock Exchange,NYSE,Telecom Services,https://www.att.com/,"AT&T Inc. provides telecommunication, media, and technology services worldwide. The company operates through four segments: Communications, WarnerMedia, Latin America, and Xandr. The Communications segment provides wireless and wireline telecom, video, and broadband and Internet services; video entertainment services using satellite, IP-based, and streaming options; and audio programming services under the AT&T, Cricket, AT&T PREPAID, and DIRECTV brands to residential and business customers. This segment also sells handsets, wirelessly enabled computers, and wireless data cards manufactured by various suppliers for use with company's voice and data services, as well as various accessories, such as carrying cases and hands-free devices through the company-owned stores, agents, and third-party retail stores. The WarnerMedia segment primarily produces, distributes, and licenses television programming and feature films; distributes home entertainment products in physical and digital formats; and produces and distributes mobile and console games, and consumer products, as well as offers brand licensing services. It also operates cable networks, multichannel premium pay television, and over-the-top services; and digital media properties. The Latin America segment offers video entertainment and audio programming services under the DIRECTV and SKY brands primarily to residential customers; pay-TV services, including HD sports video content; and postpaid and prepaid wireless services under the AT&T and Unefon brands, as well as sells various handsets through company-owned stores, agents, and third-party retail stores. The Xandr segment provides digital and video advertising services. The company was formerly known as SBC Communications Inc. and changed its name to AT&T Inc. in November 2005. AT&T Inc. was incorporated in 1983 and is based in Dallas, Texas.",Mr. Randall Stephenson,Communication Services,US,235000,12108214105,208 S Akard St,Dallas,TEXAS,75202,336.96,28.3708,https://financialmodelingprep.com/image-stock/T.png,1983-11-21,False,False,True,29.95,0.67,0.2,29.84,30.03,33.24,26.35,213796880384.0,29.835295,28.992628,26141637,42216590,NYSE,29.91,29.75,-0.75,,2021-04-22T12:30:00.000+0000,7138460113,1618636163,150,4492.5,2021-04-15,A,4,Buy,5,Strong Buy,3,Neutral,3,Neutral,5,Strong Buy,1,Strong Sell,5,Strong Buy
8,FB,1.27231,20197814,869936988160,0.0,168.34-315.88,-1.64,Facebook Inc,USD,0001326801,US30303M1027,30303M102,Nasdaq Global Select,NASDAQ,Internet Content & Information,https://www.facebook.com,"Facebook, Inc. develops products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality headsets, and in-home devices worldwide. The company's products include Facebook that enables people to connect, share, discover, and communicate with each other on mobile devices and personal computers; Instagram, a community for sharing photos, videos, and private messages; Messenger, a messaging application for people to connect with friends, family, groups, and businesses across platforms and devices; and WhatsApp, a messaging application that is used by people and businesses to communicate in a private way. It also provides Oculus, a hardware, software, and developer ecosystem, which allows people to come together and connect with each other through its Oculus virtual reality products. Facebook, Inc. was founded in 2004 and is headquartered in Menlo Park, California.",Mr. Mark Zuckerberg,Communication Services,US,56653,16506187714,1601 Willow Rd,Menlo Park,CALIFORNIA,94025,542.33,285.364,https://financialmodelingprep.com/image-stock/FB.png,2012-05-18,False,False,True,306.18,-0.53,-1.64,304.63,308.95,315.88,168.34,869936988160.0,284.66528,274.28964,13059163,20197814,NASDAQ,308.17,307.82,10.09,30.344894,2021-04-28T20:00:00.000+0000,2841260004,1618636164,150,45927.0,2021-04-16,A+,4,Buy,5,Strong Buy,3,Neutral,3,Neutral,3,Neutral,5,Strong Buy,5,Strong Buy
9,DIS,1.07699,11605318,339925598208,0.88,98.86-203.02,1.33,Walt Disney Co,USD,0001744489,US2546871060,254687106,New York Stock Exchange,NYSE,Entertainment,https://thewaltdisneycompany.com/,"The Walt Disney Company, together with its subsidiaries, operates as an entertainment company worldwide. The company's Media Networks segment operates domestic cable networks under the Disney, ESPN, Freeform, FX, and National Geographic brands; and television broadcast network under the ABC brand, as well as eight owned domestic television stations. This segment is also involved in the television production and distribution; and operation of National Geographic magazines. Its Parks, Experiences and Products segment operates theme parks and resorts, such as Walt Disney World Resort in Florida; Disneyland Resort in California; Disneyland Paris; Hong Kong Disneyland Resort; and Shanghai Disney Resort; Disney Cruise Line, Disney Vacation Club, National Geographic Expeditions, and Adventures by Disney; and Aulani, a Disney resort and spa in Hawaii, as well as licenses its intellectual property to a third party for the operations of the Tokyo Disney Resort in Japan. The company's Studio Entertainment segment produces and distributes motion pictures under the Walt Disney Pictures, Twentieth Century Fox, Marvel, Lucasfilm, Pixar, Fox Searchlight Pictures, and Blue Sky Studios banners; develops, produces, and licenses live entertainment events; produces and distributes music; and provides post-production services, including visual and audio effects. Its Direct-To-Consumer & International segment operates international television networks and channels comprising Disney, ESPN, Fox, National Geographic, Star, and Other India Channels; direct-to-consumer streaming services consisting of Disney +, ESPN+, Hotstar, and Hulu; and operates branded apps and Websites, such as Disney Movie Club and Disney Digital Network, as well as provides streaming technology support services. The company was founded in 1923 and is based in Burbank, California.",Mr. Robert Chapek,Consumer Cyclical,US,203000,18185601000,500 S Buena Vista St,Burbank,CALIFORNIA,,27.69,129.882,https://financialmodelingprep.com/image-stock/DIS.png,1957-11-12,False,False,True,187.26,0.72,1.33,186.2,189.47,203.02,98.86,339925598208.0,190.37265,164.67409,8937627,11605318,NYSE,187.57,185.93,-2.737,,2021-05-13T20:00:00.000+0000,1815260057,1618636165,150,28089.0,2021-04-16,A+,5,Strong Buy,5,Strong Buy,3,Neutral,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy
