,symbol,beta,volAvg,mktCap,lastDiv,range,changes,companyName,currency,cik,isin,cusip,exchange,exchangeShortName,industry,website,description,ceo,sector,country,fullTimeEmployees,phone,address,city,state,zip,dcfDiff,dcf,image,ipoDate,defaultImage,isEtf,isActivelyTrading,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,volume,avgVolume,exchange,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp,held,totalheld,ratingdate,rating,ratingScore,ratingRecommendation,ratingDetailsDCFScore,ratingDetailsDCFRecommendation,ratingDetailsROEScore,ratingDetailsROERecommendation,ratingDetailsROAScore,ratingDetailsROARecommendation,ratingDetailsDEScore,ratingDetailsDERecommendation,ratingDetailsPEScore,ratingDetailsPERecommendation,ratingDetailsPBScore,ratingDetailsPBRecommendation
0,T,0.64871,42216590,213796880384,2.08,26.35-33.24,0.2,AT&T Inc,USD,0000732717,US00206R1023,00206R102,New York Stock Exchange,NYSE,Telecom Services,https://www.att.com/,"AT&T Inc. provides telecommunication, media, and technology services worldwide. The company operates through four segments: Communications, WarnerMedia, Latin America, and Xandr. The Communications segment provides wireless and wireline telecom, video, and broadband and Internet services; video entertainment services using satellite, IP-based, and streaming options; and audio programming services under the AT&T, Cricket, AT&T PREPAID, and DIRECTV brands to residential and business customers. This segment also sells handsets, wirelessly enabled computers, and wireless data cards manufactured by various suppliers for use with company's voice and data services, as well as various accessories, such as carrying cases and hands-free devices through the company-owned stores, agents, and third-party retail stores. The WarnerMedia segment primarily produces, distributes, and licenses television programming and feature films; distributes home entertainment products in physical and digital formats; and produces and distributes mobile and console games, and consumer products, as well as offers brand licensing services. It also operates cable networks, multichannel premium pay television, and over-the-top services; and digital media properties. The Latin America segment offers video entertainment and audio programming services under the DIRECTV and SKY brands primarily to residential customers; pay-TV services, including HD sports video content; and postpaid and prepaid wireless services under the AT&T and Unefon brands, as well as sells various handsets through company-owned stores, agents, and third-party retail stores. The Xandr segment provides digital and video advertising services. The company was formerly known as SBC Communications Inc. and changed its name to AT&T Inc. in November 2005. AT&T Inc. was incorporated in 1983 and is based in Dallas, Texas.",Mr. Randall Stephenson,Communication Services,US,235000,12108214105,208 S Akard St,Dallas,TEXAS,75202,336.96,28.3708,https://financialmodelingprep.com/image-stock/T.png,1983-11-21,False,False,True,29.95,0.67,0.2,29.84,30.03,33.24,26.35,213796880384.0,29.835295,28.992628,26141637,42216590,NYSE,29.91,29.75,-0.75,,2021-04-22T12:30:00.000+0000,7138460113,1618636147,70,2096.5,2021-04-15,A,4,Buy,5,Strong Buy,3,Neutral,3,Neutral,5,Strong Buy,1,Strong Sell,5,Strong Buy
1,LI,0.0,17583516,17803403264,0.0,14.31-47.7,-0.4,Li Auto Inc.,USD,0001791706,US50202M1027,50202M102,Nasdaq Global Select,NASDAQ,Auto Manufacturers,http://www.lixiang.com,"Li Auto Inc., through its subsidiaries, designs, develops, manufactures, and sells smart electric sport utility vehicles (SUVs) in China. It offers Li ONE, a six-seat electric SUV that equipped with a range of extension system and smart vehicle solutions. The company was formerly known as Leading Ideal Inc. and changed its name to Li Auto Inc. in July 2020. Li Auto Inc. was founded in 2015 and is headquartered in Beijing, China.",Mr. Xiang  Li,Consumer Cyclical,CN,2628,86 10 6437 3861,11 Wenliang Street,Beijing,,,,0.0,https://financialmodelingprep.com/image-stock/LI.png,2020-07-10,False,False,True,19.28,-2.03,-0.4,18.9,19.48,47.7,14.31,17803403264.0,23.905,27.597883,11490376,17583516,NASDAQ,19.45,19.68,,,2017-02-06T20:00:00.000+0000,923413032,1618636148,20,385.6,2021-04-15,A+,4,Buy,5,Strong Buy,3,Neutral,3,Neutral,3,Neutral,5,Strong Buy,5,Strong Buy
2,LNC,2.2128,1651381,12479190016,2.04,26.97-67.37,0.82,Lincoln National Corp,USD,0000059558,US5341871094,534187109,New York Stock Exchange,NYSE,Insurance Life,https://www.lfg.com/public/individual,"Lincoln National Corporation, through its subsidiaries, operates multiple insurance and retirement businesses in the United States. It operates through four segments: Annuities, Retirement Plan Services, Life Insurance, and Group Protection. The Annuities segment offers variable, fixed, and indexed variable annuities. The Retirement Plan Services segment provides employers with retirement plan products and services primarily in the defined contribution retirement plan marketplace. This segment offers individual and group variable annuities, group fixed annuities, and mutual fund-based programs; and a range of plan services, including plan recordkeeping, compliance testing, participant education, and trust and custodial services. The Life Insurance segment provides life insurance products, including term insurance, such as single and survivorship versions of universal life insurance; variable universal life insurance; indexed universal life insurance products; and critical illness and long-term care riders. The Group Protection segment offers group non-medical insurance products comprising short and long-term disability, statutory disability and paid family medical leave administration and absence management services, term life, dental, vision and accident, and critical illness benefits and services to the employer marketplace through various forms of employee-paid and employer-paid plans. The company distributes its products through consultants, brokers, planners, agents, financial advisors, third-party administrators, and other intermediaries. Lincoln National Corporation was founded in 1905 and is headquartered in Radnor, Pennsylvania.",Mr. Dennis Glass,Financial Services,US,11357,14845831400,150 N RADNOR CHESTER RD,Radnor,PENNSYLVANIA,19087,-65.54,47.2015,https://financialmodelingprep.com/image-stock/LNC.png,1969-08-20,False,False,True,65.01,1.28,0.82,64.61,65.76,67.37,26.97,12479190016.0,61.49059,49.543724,1298522,1651381,NYSE,65.0,64.19,2.56,25.394533,2021-05-05T20:00:00.000+0000,191958007,1618636148,10,650.1,2021-04-15,A+,4,Buy,5,Strong Buy,3,Neutral,3,Neutral,5,Strong Buy,5,Strong Buy,3,Neutral
3,ONTO,1.11761,400049,3459266560,0.0,28.08-72.55,-0.4,Onto Innovation Inc,USD,0000704532,US6833441057,683344105,New York Stock Exchange,NYSE,Semiconductors,http://www.nanometrics.com/,"Onto Innovation Inc. designs, develops, manufactures, and supports process control tools that performs macro-defect inspection and metrology, lithography systems, and process control analytical software used by semiconductor and advanced packaging device manufacturers worldwide. The company offers process and yield management solutions used in bare silicon wafer production and processing facilities, and device packaging and test facilities through standalone systems for macro-defect inspection, packaging lithography, probe card test and analysis, and transparent and opaque thin film measurements. It also provides spare parts and software licensing services. The company was formerly known as Rudolph Technologies, Inc. Onto Innovation Inc. was founded in 1940 and is headquartered in Wilmington, Massachusetts.",Mr. Michael Plisinski,Technology,US,1340,14085456000,16 Jonspin Rd,Wilmington,MASSACHUSETTS,01887,,38.4347,https://financialmodelingprep.com/image-stock/ONTO.jpg,1984-11-29,True,False,True,70.66,-0.56,-0.4,70.29,71.99,72.55,28.08,3459266560.0,64.53941,50.85095,244107,400049,NYSE,71.75,71.06,,,2021-04-29T20:00:00.000+0000,48956504,1618636149,10,706.5999999999999,2021-04-15,A+,4,Buy,5,Strong Buy,3,Neutral,3,Neutral,3,Neutral,5,Strong Buy,5,Strong Buy
4,UWMC,0.0,9235119,12022723584,0.1,7.24-14.38,-0.09,UWM Holdings Corporation Class,USD,0001783398,US91823B1098,91823B109,New York Stock Exchange,NYSE,Mortgage Finance,http://www.uwm.com,"UWM Holdings Corporation engages in the residential mortgage lending business in the United States. The company originates mortgage loans through wholesale channel. It originates primarily conforming and government loans. The company was founded in 1986 and is headquartered in Pontiac, Michigan.",Mr. Mathew R. Ishbia,Financial Services,US,7500,800-981-8898,585 South Boulevard East,Pontiac,MI,,,0.0,https://financialmodelingprep.com/image-stock/UWMC.png,2020-12-28,False,False,True,7.49,-1.19,-0.09,7.305,7.51,14.38,7.24,12022723584.0,8.23,9.920328,5384385,9235119,NYSE,7.5,7.58,,,2021-02-03T10:59:00.000+0000,1605170038,1618636150,100,749.0,2021-04-15,B+,4,Buy,5,Strong Buy,3,Neutral,3,Neutral,3,Neutral,1,Strong Sell,5,Strong Buy
5,ABBV,0.67286,7328227,190442799104,4.96,79.11-113.41,1.02,Abbvie Inc,USD,0001551152,US00287Y1091,00287Y109,New York Stock Exchange,NYSE,Drug Manufacturers General,https://www.abbvie.com/,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the United States, Japan, Germany, Canada, France, Spain, Italy, the Netherlands, the United Kingdom, Brazil, and internationally. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal Behçet's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenström's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; VIEKIRA PAK, an interferon-free therapy to treat adults with genotype 1 chronic hepatitis C virus (HCV); TECHNIVIE to treat adults with genotype 4 HCV infection; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides SYNAGIS that protects at-risk infants from severe respiratory disease; KALETRA, a prescription anti-HIV-1 medicine; CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; and Lupron, a product for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; and Sevoflurane, an anesthesia product. It has collaborations with Calico Life Sciences LLC; Alector, Inc.; Janssen Biotech, Inc.; Jacobio Pharmaceuticals; I-Mab; and Genmab A/S. The company was incorporated in 2012 and is based in North Chicago, Illinois.",Mr. Richard Gonzalez,Healthcare,US,47000,18479327900,1 N Waukegan Rd,North Chicago,ILLINOIS,60064,45.83,109.793,https://financialmodelingprep.com/image-stock/ABBV.png,2013-01-02,False,False,True,107.91,0.95,1.02,107.14,108.5499,113.41,79.11,190442799104.0,106.67441,101.58825,7438191,7328227,NYSE,107.49,106.89,2.72,39.672794,2021-04-30T12:30:00.000+0000,1764829943,1618636150,10,1079.1,2021-04-15,S-,5,Strong Buy,5,Strong Buy,3,Neutral,3,Neutral,5,Strong Buy,5,Strong Buy,5,Strong Buy
6,ALL,0.70695,2110349,36701794304,2.43,84.97-122.71,0.61,Allstate Corp,USD,0000899051,US0200021014,020002101,New York Stock Exchange,NYSE,Insurance Property & Casualty,http://www.allstateinvestors.com/phoenix.zhtml?c=93125&p=irol-irhome,"The Allstate Corporation, through its subsidiaries, provides property and casualty, and other insurance products in the United States and Canada. The company operates through Allstate Protection, Service Businesses, Allstate Life, and Allstate Benefits segments. The Allstate Protection segment offers private passenger auto and homeowners insurance; specialty auto products, including motorcycle, trailer, motor home, and off-road vehicle insurance; other personal lines products, such as renter, condominium, landlord, boat, umbrella, and manufactured home and stand-alone scheduled personal property; liability insurance products; and commercial lines products under the Allstate, Esurance, and Encompass brand names. The Service Businesses segment provides consumer product protection plans; finance and insurance products, including vehicle service contracts, guaranteed asset protection waivers, road hazard tire and wheel, and paint less dent repair protection; roadside assistance; device and mobile data collection services; and analytic solutions using automotive telematics information and identity protection. This segment offers its products under various brands including Allstate Protection Plans, Allstate Dealer Services, Allstate Roadside Services, Arity, and Allstate Identity Protection. The Allstate Life Segment offers traditional, interest-sensitive, and variable life insurance products, as well as non-proprietary retirement product solutions offered by third-party providers. Its Allstate Benefits segment provides life, accident, critical illness, short-term disability, and other health insurance products. The company sells its products through direct contact centers, agencies, financial specialists, brokers, wholesale partners, and affinity groups, as well as through online and mobile applications. The Allstate Corporation was founded in 1931 and is based in Northbrook, Illinois.",Mr. Thomas Wilson,Financial Services,US,45780,18474025000,2775 Sanders Rd,Northbrook,ILLINOIS,60062-6127,,91.7735,https://financialmodelingprep.com/image-stock/ALL.png,1993-06-03,False,False,True,122.2,0.5,0.61,121.75,122.71,122.71,84.97,36701794304.0,114.83206,104.98022,1856228,2110349,NYSE,122.0,121.59,17.31,7.059503,2021-05-05T20:00:00.000+0000,300342016,1618636151,10,1222.0,2021-04-15,S-,5,Strong Buy,5,Strong Buy,4,Buy,3,Neutral,5,Strong Buy,4,Buy,5,Strong Buy
7,GOLD,0.22844,19027636,39596077056,0.33,18.64-31.22,0.25,Barrick Gold Corp,USD,0001206942,CA0679011084,067901108,New York Stock Exchange,NYSE,Gold,https://www.barrick.com,"Barrick Gold Corporation engages in the exploration, mine development, production, and sale of gold and copper properties. It has ownership interests in producing gold mines that are located in Argentina, Canada, Côte d'Ivoire, the Democratic Republic of Congo, the Dominican Republic, Mali, Papua New Guinea, Tanzania, and the United States. The company also has ownership interests in producing copper mines located in Chile, Saudi Arabia, and Zambia; and various other projects located throughout the Americas. Barrick Gold Corporation was founded in 1983 and is headquartered in Toronto, Canada.",Mr. Mark Bristow,Basic Materials,CA,22100,14163077470,"Canada Trust Tower, 161 Bay St Suite 3700",TORONTO,ONTARIO,M5J 2S1,,28.6767,https://financialmodelingprep.com/image-stock/GOLD.png,1983-05-02,False,False,True,22.23,1.14,0.25,22.02,22.43,31.22,18.64,39596077056.0,20.334412,23.377518,22098761,19027636,NYSE,22.38,21.98,1.307,17.008415,2021-05-05T12:30:00.000+0000,1781200048,1618636151,100,2223.0,2021-04-15,A+,5,Strong Buy,5,Strong Buy,3,Neutral,3,Neutral,4,Buy,5,Strong Buy,5,Strong Buy
8,BEAM,0.0,1131252,4480226304,0.0,14.8-126.9,-1.09,Beam Therapeutics Inc,USD,0001745999,US07373V1052,07373V105,Nasdaq Global Select,NASDAQ,Biotechnology,https://beamtx.com/,"Beam Therapeutics Inc., a biotechnology company, engages in developing precision genetic medicines for patients suffering from serious diseases in the United States. The company is developing therapies for the development of sickle cell disease and beta-thalassemia; CAR-T cell therapies for pediatric T-cell acute lymphoblastic leukemia and pediatric acute myeloid leukemia; therapies for alpha-1 antitrypsin deficiency and glycogen storage disorder 1A; and therapies for ocular and central nervous system disorders. It has a research and clinical collaboration agreement with Magenta Therapeutics, Inc. Beam Therapeutics Inc. was founded in 2017 and is based in Cambridge, Massachusetts.",Mr. John M. Evans,Healthcare,US,166,18573278775,26 Landsdowne St,Cambridge,MASSACHUSETTS,02139,,,https://financialmodelingprep.com/image-stock/BEAM.png,2020-02-06,False,False,True,72.69,-1.48,-1.09,70.78,74.34,126.9,14.8,4480226304.0,82.86912,71.168465,588799,1131252,NASDAQ,73.26,73.78,-4.191,,2021-03-15T12:30:00.000+0000,61634699,1618636152,10,726.9,2021-04-15,B,3,Neutral,5,Strong Buy,1,Strong Sell,2,Sell,4,Buy,1,Strong Sell,5,Strong Buy
9,BNGO,0.0,37782813,1577227008,0.0,0.33-15.69,-0.45,Bionano Genomics Inc,USD,0001411690,US09075F1075,09075F107,Nasdaq Capital Market,NASDAQ,Diagnostics & Research,https://bionanogenomics.com/,"BioNano Genomics, Inc. is a life sciences instrumentation company, which focuses on genome analysis space. The company is headquartered in San Diego, California and currently employs 77 full-time employees. The firm develops and markets the Saphyr system. The Company’s products include Sequencing for Discovery Research and Cytogenetics. Sequencing alone, however, is significantly limited due to its inability to reveal structural variations. Cytogenetics provide a clinical diagnosis, cytogenetic tests detect known variations that are linked to specific diseases or therapeutic responses. Saphyr system is platform for ultra-sensitive and ultra-specific structural variation detection that enables researchers and clinicians to accelerate the search for new diagnostics and therapeutic targets and to streamline the study of changes in chromosomes, which is known as cytogenetics. Sequencing for Discovery Research is primarily used to find single nucleotide variations responsible for disease or therapeutic response.",DR. R. Erik Holmlin,Healthcare,US,97,18588887600,9540 Towne Centre Dr Ste 100,San Diego,CALIFORNIA,92121,,,https://financialmodelingprep.com/image-stock/BNGO.png,2018-08-01,False,False,True,5.66,-7.36,-0.45,5.38,5.78,15.69,0.33,1577227008.0,8.153529,5.011314,23011655,37782813,NASDAQ,5.64,6.11,-0.394,,2021-03-23T16:01:00.000+0000,278662016,1618636152,70,396.2,2021-04-15,B,3,Neutral,5,Strong Buy,1,Strong Sell,2,Sell,4,Buy,1,Strong Sell,5,Strong Buy
