,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,BEAM,2021-04-15,79.279999,79.300003,72.779999,73.779999,73.779999,786300.0,786300.0,-5.5,-6.937,75.28667,"April 15, 21",-0.06937
1,BEAM,2021-04-14,72.480003,79.980003,72.480003,76.449997,76.449997,1051700.0,1051700.0,3.96999,5.477,76.30333,"April 14, 21",0.05477
2,BEAM,2021-04-13,69.260002,74.959999,69.191002,74.800003,74.800003,1097600.0,1097600.0,5.54,7.999,72.98367,"April 13, 21",0.07999
3,BEAM,2021-04-12,70.279999,70.32,66.269997,68.82,68.82,1401700.0,1401700.0,-1.46,-2.077,68.47,"April 12, 21",-0.02077
4,BEAM,2021-04-09,73.459999,73.610001,68.599998,70.230003,70.230003,1144300.0,1144300.0,-3.23,-4.397,70.81333,"April 09, 21",-0.04397
5,BEAM,2021-04-08,75.660004,78.269997,73.440002,74.82,74.82,679200.0,679200.0,-0.84,-1.11,75.51,"April 08, 21",-0.0111
6,BEAM,2021-04-07,76.349998,79.309998,73.589996,74.370003,74.370003,695200.0,695200.0,-1.98,-2.593,75.75667,"April 07, 21",-0.02593
7,BEAM,2021-04-06,80.0,82.110001,76.099998,76.839996,76.839996,936300.0,936300.0,-3.16,-3.95,78.35,"April 06, 21",-0.0395
8,BEAM,2021-04-05,81.410004,83.745003,78.879997,80.599998,80.599998,659300.0,659300.0,-0.81001,-0.995,81.075,"April 05, 21",-0.00995
9,BEAM,2021-04-01,81.709999,86.739998,79.330002,79.739998,79.739998,832000.0,832000.0,-1.97,-2.411,81.93667,"April 01, 21",-0.02411
10,BEAM,2021-03-31,79.599998,82.669998,77.639999,80.040001,80.040001,1778100.0,1778100.0,0.44,0.553,80.11667,"March 31, 21",0.00553
11,BEAM,2021-03-30,73.440002,76.150002,70.760002,75.760002,75.760002,1748600.0,1748600.0,2.32,3.159,74.22334,"March 30, 21",0.03159
12,BEAM,2021-03-29,80.5,81.462997,73.529999,74.589996,74.589996,1223000.0,1223000.0,-5.91,-7.342,76.52766,"March 29, 21",-0.07342
13,BEAM,2021-03-26,84.167,85.489998,77.675003,81.330002,81.330002,789600.0,789600.0,-2.837,-3.371,81.49833,"March 26, 21",-0.03371
14,BEAM,2021-03-25,79.0,85.940002,78.110001,83.339996,83.339996,1065500.0,1065500.0,4.34,5.494,82.46333,"March 25, 21",0.05494
15,BEAM,2021-03-24,89.150002,90.780998,80.510002,80.849998,80.849998,857800.0,857800.0,-8.3,-9.31,84.047,"March 24, 21",-0.0931
16,BEAM,2021-03-23,93.029999,93.809998,87.519997,88.370003,88.370003,869900.0,869900.0,-4.66,-5.009,89.9,"March 23, 21",-0.05009
17,BEAM,2021-03-22,94.660004,97.139999,91.760002,94.760002,94.760002,688600.0,688600.0,0.1,0.106,94.55333,"March 22, 21",0.00106
18,BEAM,2021-03-19,88.480003,94.489998,88.480003,92.889999,92.889999,1228300.0,1228300.0,4.41,4.984,91.95333,"March 19, 21",0.04984
19,BEAM,2021-03-18,93.849998,95.589996,88.57,88.860001,88.860001,1119500.0,1119500.0,-4.99,-5.317,91.00667,"March 18, 21",-0.05317
20,BEAM,2021-03-17,90.160004,98.580002,87.660004,97.800003,97.800003,739200.0,739200.0,7.64,8.474,94.68,"March 17, 21",0.08474
21,BEAM,2021-03-16,95.110001,97.489998,90.370003,94.129997,94.129997,747400.0,747400.0,-0.98,-1.03,93.99667,"March 16, 21",-0.0103
22,BEAM,2021-03-15,98.260002,100.0,93.379997,94.82,94.82,756600.0,756600.0,-3.44,-3.501,96.06667,"March 15, 21",-0.03501
23,BEAM,2021-03-12,91.129997,98.650002,89.416,98.419998,98.419998,936200.0,936200.0,7.29,8.0,95.49533,"March 12, 21",0.08
24,BEAM,2021-03-11,88.209999,95.620003,88.209999,94.660004,94.660004,1167100.0,1167100.0,6.45001,7.312,92.83,"March 11, 21",0.07312
25,BEAM,2021-03-10,87.68,90.389999,82.650002,84.32,84.32,1172400.0,1172400.0,-3.36,-3.832,85.78667,"March 10, 21",-0.03832
26,BEAM,2021-03-09,75.309998,86.75,75.309998,84.019997,84.019997,1364900.0,1364900.0,8.71,11.566,82.02667,"March 09, 21",0.11566
27,BEAM,2021-03-08,72.010002,79.300003,70.589996,71.279999,71.279999,1425000.0,1425000.0,-0.73,-1.014,73.72333,"March 08, 21",-0.01014
28,BEAM,2021-03-05,74.900002,75.489998,62.869999,72.599998,72.599998,2270600.0,2270600.0,-2.3,-3.071,70.32,"March 05, 21",-0.03071
29,BEAM,2021-03-04,83.0,85.629997,69.089996,73.489998,73.489998,2384600.0,2384600.0,-9.51,-11.458,76.07,"March 04, 21",-0.11458
