,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,CCIV,2021-04-16,21.83,22.1,19.82,19.52,19.52,25188697.0,25188697.0,-2.31,-10.582,20.48,"April 16, 21",-0.10582
1,CCIV,2021-04-15,21.83,22.1,19.82,20.120001,20.120001,25519900.0,25519900.0,-1.71,-7.833,20.68,"April 15, 21",-0.07833
2,CCIV,2021-04-14,22.02,22.25,21.540001,21.73,21.73,11829400.0,11829400.0,-0.29,-1.317,21.84,"April 14, 21",-0.01317
3,CCIV,2021-04-13,21.959999,22.719999,21.57,22.09,22.09,16121600.0,16121600.0,0.13,0.592,22.12667,"April 13, 21",0.00592
4,CCIV,2021-04-12,22.93,23.450001,21.77,22.030001,22.030001,10594100.0,10594100.0,-0.9,-3.925,22.41667,"April 12, 21",-0.03925
5,CCIV,2021-04-09,22.98,23.34,22.76,22.969999,22.969999,7636400.0,7636400.0,-0.01,-0.044,23.02333,"April 09, 21",-0.00044
6,CCIV,2021-04-08,23.059999,23.370001,22.66,23.16,23.16,7922300.0,7922300.0,0.1,0.434,23.06333,"April 08, 21",0.00434
7,CCIV,2021-04-07,24.110001,24.469999,22.700001,22.82,22.82,15341900.0,15341900.0,-1.29,-5.35,23.33,"April 07, 21",-0.0535
8,CCIV,2021-04-06,23.049999,24.959999,23.02,24.459999,24.459999,19840000.0,19840000.0,1.41,6.117,24.14667,"April 06, 21",0.06117
9,CCIV,2021-04-05,24.549999,24.610001,23.0,23.0,23.0,13238200.0,13238200.0,-1.55,-6.314,23.53667,"April 05, 21",-0.06314
10,CCIV,2021-04-01,24.25,24.469999,23.209999,23.780001,23.780001,12839800.0,12839800.0,-0.47,-1.938,23.82,"April 01, 21",-0.01938
11,CCIV,2021-03-31,24.059999,24.228001,22.780001,23.18,23.18,15298900.0,15298900.0,-0.88,-3.658,23.396,"March 31, 21",-0.03658
12,CCIV,2021-03-30,21.18,23.65,21.07,23.51,23.51,18201200.0,18201200.0,2.33,11.001,22.74333,"March 30, 21",0.11001
13,CCIV,2021-03-29,22.879999,22.959999,21.35,21.35,21.35,21663600.0,21663600.0,-1.53,-6.687,21.88667,"March 29, 21",-0.06687
14,CCIV,2021-03-26,23.059999,23.92,22.07,23.02,23.02,18171700.0,18171700.0,-0.04,-0.173,23.00333,"March 26, 21",-0.00173
