,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,RBLX,2021-04-15,75.5,80.75,74.559998,79.660004,79.660004,8835700.0,8835700.0,4.16,5.51,78.32333,"April 15, 21",0.0551
1,RBLX,2021-04-14,79.110001,80.57,74.051003,75.349998,75.349998,14761400.0,14761400.0,-3.76,-4.753,76.657,"April 14, 21",-0.04753
2,RBLX,2021-04-13,74.690002,83.410004,73.510002,82.050003,82.050003,17893700.0,17893700.0,7.36,9.854,79.65667,"April 13, 21",0.09854
3,RBLX,2021-04-12,71.82,77.0,71.510002,75.0,75.0,8004100.0,8004100.0,3.18,4.428,74.50333,"April 12, 21",0.04428
4,RBLX,2021-04-09,70.5,74.989998,70.205002,71.830002,71.830002,9245500.0,9245500.0,1.33,1.887,72.34167,"April 09, 21",0.01887
5,RBLX,2021-04-08,69.470001,71.489998,68.839996,70.760002,70.760002,4244000.0,4244000.0,1.29,1.857,70.36333,"April 08, 21",0.01857
6,RBLX,2021-04-07,70.699997,71.139999,67.879997,68.730003,68.730003,4424800.0,4424800.0,-1.96999,-2.786,69.25,"April 07, 21",-0.02786
7,RBLX,2021-04-06,71.239998,72.389999,70.760002,71.32,71.32,3915500.0,3915500.0,0.08,0.112,71.49,"April 06, 21",0.00112
8,RBLX,2021-04-05,70.139999,72.860001,68.559998,70.760002,70.760002,8609500.0,8609500.0,0.62,0.884,70.72667,"April 05, 21",0.00884
9,RBLX,2021-04-01,66.800003,69.669998,65.900002,67.339996,67.339996,4063100.0,4063100.0,0.53999,0.808,67.63667,"April 01, 21",0.00808
10,RBLX,2021-03-31,65.5,67.190002,64.57,64.830002,64.830002,4094900.0,4094900.0,-0.67,-1.023,65.53,"March 31, 21",-0.01023
11,RBLX,2021-03-30,66.980003,66.989998,64.474998,65.169998,65.169998,3394500.0,3394500.0,-1.81,-2.702,65.545,"March 30, 21",-0.02702
12,RBLX,2021-03-29,69.0,69.089996,66.510002,67.029999,67.029999,4351600.0,4351600.0,-1.97,-2.855,67.54333,"March 29, 21",-0.02855
13,RBLX,2021-03-26,67.889999,71.199997,64.769997,70.970001,70.970001,4531200.0,4531200.0,3.08,4.537,68.98,"March 26, 21",0.04537
14,RBLX,2021-03-25,62.009998,69.849998,60.689999,67.849998,67.849998,6283000.0,6283000.0,5.84,9.418,66.13,"March 25, 21",0.09418
15,RBLX,2021-03-24,69.970001,70.0,64.010002,64.5,64.5,5460000.0,5460000.0,-5.47,-7.818,66.17,"March 24, 21",-0.07818
16,RBLX,2021-03-23,70.099998,71.75,67.629997,68.0,68.0,4456000.0,4456000.0,-2.1,-2.996,69.12667,"March 23, 21",-0.02996
17,RBLX,2021-03-22,71.809998,72.489998,69.540001,70.0,70.0,4238500.0,4238500.0,-1.81,-2.521,70.67667,"March 22, 21",-0.02521
18,RBLX,2021-03-19,69.470001,72.699997,68.080002,70.5,70.5,6776500.0,6776500.0,1.03,1.483,70.42667,"March 19, 21",0.01483
19,RBLX,2021-03-18,76.0,77.0,66.800003,67.300003,67.300003,9703000.0,9703000.0,-8.7,-11.447,70.36667,"March 18, 21",-0.11447
20,RBLX,2021-03-17,76.029999,79.099998,74.889999,76.790001,76.790001,10054100.0,10054100.0,0.76,1.0,76.92667,"March 17, 21",0.01
21,RBLX,2021-03-16,73.730003,78.0,73.18,77.0,77.0,30274400.0,30274400.0,3.27,4.435,76.06,"March 16, 21",0.04435
22,RBLX,2021-03-15,70.019997,74.059998,66.25,72.150002,72.150002,19549800.0,19549800.0,2.13,3.042,70.82,"March 15, 21",0.03042
23,RBLX,2021-03-12,72.470001,72.959999,69.110001,69.699997,69.699997,19714700.0,19714700.0,-2.77,-3.822,70.59,"March 12, 21",-0.03822
24,RBLX,2021-03-11,74.93,77.779999,70.129997,73.900002,73.900002,59629300.0,59629300.0,-1.03,-1.375,73.93667,"March 11, 21",-0.01375
25,RBLX,2021-03-10,64.5,74.830002,60.5,69.5,69.5,97069300.0,97069300.0,5.0,7.752,68.27667,"March 10, 21",0.07752
