,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,ALLY,2021-04-15,48.0,48.088001,47.029999,47.639999,47.639999,3908700.0,3908700.0,-0.36,-0.75,47.586,"April 15, 21",-0.0075
1,ALLY,2021-04-14,46.830002,48.326,46.740002,47.75,47.75,4658000.0,4658000.0,0.92,1.965,47.60533,"April 14, 21",0.01965
2,ALLY,2021-04-13,47.919998,47.919998,46.924999,46.959999,46.959999,3683000.0,3683000.0,-0.96,-2.003,47.26833,"April 13, 21",-0.02003
3,ALLY,2021-04-12,47.380001,48.34,47.32,48.049999,48.049999,5533800.0,5533800.0,0.67,1.414,47.90333,"April 12, 21",0.01414
4,ALLY,2021-04-09,47.400002,47.439999,46.779999,47.150002,47.150002,2509800.0,2509800.0,-0.25,-0.527,47.12333,"April 09, 21",-0.00527
5,ALLY,2021-04-08,46.810001,47.310001,46.049999,47.07,47.07,3394500.0,3394500.0,0.26,0.555,46.81,"April 08, 21",0.00555
6,ALLY,2021-04-07,46.990002,47.310001,46.529999,47.02,47.02,2714900.0,2714900.0,0.03,0.064,46.95333,"April 07, 21",0.00064
7,ALLY,2021-04-06,46.880001,47.105,46.25,46.779999,46.779999,2771100.0,2771100.0,-0.1,-0.213,46.71167,"April 06, 21",-0.00213
8,ALLY,2021-04-05,47.360001,47.610001,46.708,46.919998,46.919998,3821000.0,3821000.0,-0.44,-0.929,47.07933,"April 05, 21",-0.00929
9,ALLY,2021-04-01,45.610001,46.849998,45.5,46.73,46.73,4817100.0,4817100.0,1.12,2.456,46.36,"April 01, 21",0.02456
10,ALLY,2021-03-31,46.0,46.349998,45.209999,45.209999,45.209999,5142200.0,5142200.0,-0.79,-1.717,45.59,"March 31, 21",-0.01717
11,ALLY,2021-03-30,45.119999,46.130001,44.970001,46.0,46.0,4490400.0,4490400.0,0.88,1.95,45.7,"March 30, 21",0.0195
12,ALLY,2021-03-29,45.080002,45.439999,44.299999,44.759998,44.759998,4010600.0,4010600.0,-0.32,-0.71,44.83333,"March 29, 21",-0.0071
13,ALLY,2021-03-26,46.02,46.610001,44.939999,45.82,45.82,5290400.0,5290400.0,-0.2,-0.435,45.79,"March 26, 21",-0.00435
14,ALLY,2021-03-25,43.23,45.599998,42.720001,45.470001,45.470001,4945000.0,4945000.0,2.24,5.182,44.59667,"March 25, 21",0.05182
15,ALLY,2021-03-24,44.189999,44.540001,43.470001,43.470001,43.470001,3074900.0,3074900.0,-0.72,-1.629,43.82667,"March 24, 21",-0.01629
16,ALLY,2021-03-23,44.549999,45.134998,43.235001,43.630001,43.630001,2934100.0,2934100.0,-0.92,-2.065,44.0,"March 23, 21",-0.02065
17,ALLY,2021-03-22,44.759998,45.060001,44.25,44.900002,44.900002,4429900.0,4429900.0,0.14,0.313,44.73667,"March 22, 21",0.00313
18,ALLY,2021-03-19,45.009998,45.650002,44.0,45.209999,45.209999,6834900.0,6834900.0,0.2,0.444,44.95333,"March 19, 21",0.00444
19,ALLY,2021-03-18,47.099998,47.299999,45.02,45.32,45.32,6169200.0,6169200.0,-1.78,-3.779,45.88,"March 18, 21",-0.03779
20,ALLY,2021-03-17,46.310001,46.810001,45.570999,46.77,46.77,3662400.0,3662400.0,0.46,0.993,46.38367,"March 17, 21",0.00993
21,ALLY,2021-03-16,46.529999,46.674999,45.57,46.060001,46.060001,2631700.0,2631700.0,-0.47,-1.01,46.10167,"March 16, 21",-0.0101
22,ALLY,2021-03-15,45.720001,46.700001,45.459999,46.619999,46.619999,6580100.0,6580100.0,0.9,1.969,46.26,"March 15, 21",0.01969
23,ALLY,2021-03-12,45.91,46.400002,45.43,45.59,45.59,2813800.0,2813800.0,-0.32,-0.697,45.80667,"March 12, 21",-0.00697
24,ALLY,2021-03-11,45.529999,45.91,45.299999,45.639999,45.639999,3943200.0,3943200.0,0.11,0.242,45.61667,"March 11, 21",0.00242
