,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,BABA,2021-04-21,229.33,229.49,226.07,229.44,229.44,13149226.0,13149226.0,0.11,0.048,228.33333,"April 21, 21",0.00048
1,BABA,2021-04-20,232.87,234.63,228.43,229.88,229.88,12079056.0,12079056.0,-2.99,-1.284,230.98,"April 20, 21",-0.01284
2,BABA,2021-04-19,237.44,238.42,232.81,234.78,234.78,11287481.0,11287481.0,-2.66,-1.12,235.33667,"April 19, 21",-0.0112
3,BABA,2021-04-16,241.89,241.89,237.82,238.69,238.69,14372335.0,14372335.0,-3.2,-1.323,239.46667,"April 16, 21",-0.01323
4,BABA,2021-04-15,240.0,240.95,238.127,239.09,239.09,11343622.0,11343622.0,-0.91,-0.379,239.389,"April 15, 21",-0.00379
5,BABA,2021-04-14,244.369995,245.089996,238.649994,239.229996,239.229996,12405200.0,12405200.0,-5.14,-2.103,240.99,"April 14, 21",-0.02103
6,BABA,2021-04-13,243.660004,245.690002,239.690002,241.889999,241.889999,20793000.0,20793000.0,-1.77,-0.726,242.42333,"April 13, 21",-0.00726
7,BABA,2021-04-12,237.889999,244.910004,236.649994,244.009995,244.009995,57500300.0,57500300.0,6.12,2.573,241.85666,"April 12, 21",0.02573
8,BABA,2021-04-09,224.850006,225.070007,221.320007,223.309998,223.309998,19746300.0,19746300.0,-1.54001,-0.685,223.23334,"April 09, 21",-0.00685
9,BABA,2021-04-08,228.5,229.419998,226.619995,228.240005,228.240005,12211300.0,12211300.0,-0.26,-0.114,228.09333,"April 08, 21",-0.00114
10,BABA,2021-04-07,226.110001,228.190002,224.800003,225.419998,225.419998,18034900.0,18034900.0,-0.69,-0.305,226.13667,"April 07, 21",-0.00305
11,BABA,2021-04-06,226.029999,232.0,225.740005,230.570007,230.570007,18100400.0,18100400.0,4.54001,2.009,229.43667,"April 06, 21",0.02009
12,BABA,2021-04-05,226.529999,226.570007,222.520004,225.300003,225.300003,14962100.0,14962100.0,-1.23,-0.543,224.79667,"April 05, 21",-0.00543
13,BABA,2021-04-01,230.679993,231.25,223.5,224.360001,224.360001,23497500.0,23497500.0,-6.31999,-2.74,226.37,"April 01, 21",-0.0274
14,BABA,2021-03-31,229.889999,231.520004,226.470001,226.729996,226.729996,16825400.0,16825400.0,-3.16,-1.375,228.24,"March 31, 21",-0.01375
15,BABA,2021-03-30,229.270004,230.449997,226.639999,229.25,229.25,14828700.0,14828700.0,-0.02,-0.009,228.78,"March 30, 21",-9e-05
16,BABA,2021-03-29,225.490005,232.380005,225.100006,231.860001,231.860001,18029100.0,18029100.0,6.37,2.825,229.78,"March 29, 21",0.02825
17,BABA,2021-03-26,222.0,229.238998,220.419998,227.259995,227.259995,22019700.0,22019700.0,5.26,2.369,225.63966,"March 26, 21",0.02369
18,BABA,2021-03-25,225.0,229.240005,222.5,222.720001,222.720001,24819800.0,24819800.0,-2.28,-1.013,224.82,"March 25, 21",-0.01013
19,BABA,2021-03-24,236.830002,237.300003,229.240005,229.589996,229.589996,15949900.0,15949900.0,-7.24001,-3.057,232.04333,"March 24, 21",-0.03057
20,BABA,2021-03-23,237.300003,241.119995,235.5,237.669998,237.669998,12295600.0,12295600.0,0.36999,0.156,238.09666,"March 23, 21",0.00156
