,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,BNGO,2021-04-22,6.56,6.95,5.79,5.96,5.96,74466462.0,74466462.0,-0.6,-9.146,6.23333,"April 22, 21",-0.09146
1,BNGO,2021-04-21,5.34,5.96,5.16,5.91,5.91,27965609.0,27965609.0,0.57,10.674,5.67667,"April 21, 21",0.10674
2,BNGO,2021-04-20,5.18,6.07,5.13,5.38,5.38,35633800.0,35633800.0,0.2,3.861,5.52667,"April 20, 21",0.03861
3,BNGO,2021-04-19,5.44,5.7,5.12,5.27,5.27,18951318.0,18951318.0,-0.17,-3.125,5.36333,"April 19, 21",-0.03125
4,BNGO,2021-04-16,5.64,5.78,5.38,5.66,5.66,23179569.0,23179569.0,0.02,0.355,5.60667,"April 16, 21",0.00355
5,BNGO,2021-04-15,6.48,6.51,5.82,6.11,6.11,27270877.0,27270877.0,-0.37,-5.71,6.14667,"April 15, 21",-0.0571
6,BNGO,2021-04-14,6.8,6.82,6.4,6.43,6.43,18061200.0,18061200.0,-0.37,-5.441,6.55,"April 14, 21",-0.05441
7,BNGO,2021-04-13,6.82,7.07,6.68,6.89,6.89,13802800.0,13802800.0,0.07,1.026,6.88,"April 13, 21",0.01026
8,BNGO,2021-04-12,7.17,7.37,6.71,6.74,6.74,19271700.0,19271700.0,-0.43,-5.997,6.94,"April 12, 21",-0.05997
9,BNGO,2021-04-09,7.38,7.48,7.17,7.29,7.29,9971700.0,9971700.0,-0.09,-1.22,7.31333,"April 09, 21",-0.0122
10,BNGO,2021-04-08,7.42,7.78,7.27,7.53,7.53,13025600.0,13025600.0,0.11,1.482,7.52667,"April 08, 21",0.01482
11,BNGO,2021-04-07,7.81,7.93,7.33,7.4,7.4,14099100.0,14099100.0,-0.41,-5.25,7.55333,"April 07, 21",-0.0525
12,BNGO,2021-04-06,8.07,8.15,7.83,7.85,7.85,10282300.0,10282300.0,-0.22,-2.726,7.94333,"April 06, 21",-0.02726
13,BNGO,2021-04-05,8.03,8.23,7.86,8.17,8.17,10966700.0,10966700.0,0.14,1.743,8.08667,"April 05, 21",0.01743
14,BNGO,2021-04-01,8.4,8.43,7.76,7.83,7.83,15183400.0,15183400.0,-0.57,-6.786,8.00667,"April 01, 21",-0.06786
15,BNGO,2021-03-31,7.9,8.33,7.75,8.08,8.08,24191900.0,24191900.0,0.18,2.278,8.05333,"March 31, 21",0.02278
16,BNGO,2021-03-30,7.21,7.84,7.04,7.72,7.72,14140800.0,14140800.0,0.51,7.074,7.53333,"March 30, 21",0.07074
17,BNGO,2021-03-29,7.62,7.82,7.27,7.35,7.35,13943000.0,13943000.0,-0.27,-3.543,7.48,"March 29, 21",-0.03543
18,BNGO,2021-03-26,7.9,8.03,7.38,7.75,7.75,16810100.0,16810100.0,-0.15,-1.899,7.72,"March 26, 21",-0.01899
19,BNGO,2021-03-25,6.98,7.92,6.92,7.9,7.9,24630800.0,24630800.0,0.92,13.181,7.58,"March 25, 21",0.13181
20,BNGO,2021-03-24,8.79,8.79,7.36,7.43,7.43,33571800.0,33571800.0,-1.36,-15.472,7.86,"March 24, 21",-0.15472
21,BNGO,2021-03-23,8.9,9.03,8.32,8.37,8.37,19293300.0,19293300.0,-0.53,-5.955,8.57333,"March 23, 21",-0.05955
22,BNGO,2021-03-22,9.26,9.33,8.82,9.05,9.05,18429400.0,18429400.0,-0.21,-2.268,9.06667,"March 22, 21",-0.02268
23,BNGO,2021-03-19,8.68,9.14,8.47,9.03,9.03,15972300.0,15972300.0,0.35,4.032,8.88,"March 19, 21",0.04032
24,BNGO,2021-03-18,9.05,9.24,8.55,8.59,8.59,15320700.0,15320700.0,-0.46,-5.083,8.79333,"March 18, 21",-0.05083
25,BNGO,2021-03-17,8.43,9.35,8.3,9.29,9.29,19876300.0,19876300.0,0.86,10.202,8.98,"March 17, 21",0.10202
26,BNGO,2021-03-16,9.59,9.66,8.5,8.73,8.73,23391200.0,23391200.0,-0.86,-8.968,8.96333,"March 16, 21",-0.08968
27,BNGO,2021-03-15,9.39,9.83,9.13,9.67,9.67,17132800.0,17132800.0,0.28,2.982,9.54333,"March 15, 21",0.02982
28,BNGO,2021-03-12,9.0,9.46,8.83,9.38,9.38,17758600.0,17758600.0,0.38,4.222,9.22333,"March 12, 21",0.04222
29,BNGO,2021-03-11,8.93,9.56,8.71,9.53,9.53,23225600.0,23225600.0,0.6,6.719,9.26667,"March 11, 21",0.06719
30,BNGO,2021-03-10,9.52,9.55,8.32,8.67,8.67,37119900.0,37119900.0,-0.85,-8.929,8.84667,"March 10, 21",-0.08929
31,BNGO,2021-03-09,8.34,9.34,7.95,9.02,9.02,39047100.0,39047100.0,0.68,8.153,8.77,"March 09, 21",0.08153
32,BNGO,2021-03-08,7.71,8.95,7.2,7.77,7.77,66906400.0,66906400.0,0.06,0.778,7.97333,"March 08, 21",0.00778
33,BNGO,2021-03-05,7.4,7.41,5.58,7.15,7.15,59736800.0,59736800.0,-0.25,-3.378,6.71333,"March 05, 21",-0.03378
34,BNGO,2021-03-04,8.01,8.43,6.6,6.9,6.9,50731600.0,50731600.0,-1.11,-13.858,7.31,"March 04, 21",-0.13858
35,BNGO,2021-03-03,9.57,9.59,8.45,8.55,8.55,27574500.0,27574500.0,-1.02,-10.658,8.86333,"March 03, 21",-0.10658
36,BNGO,2021-03-02,10.0,10.46,9.46,9.48,9.48,15447400.0,15447400.0,-0.52,-5.2,9.8,"March 02, 21",-0.052
37,BNGO,2021-03-01,10.04,10.26,9.77,9.84,9.84,17849400.0,17849400.0,-0.2,-1.992,9.95667,"March 01, 21",-0.01992
38,BNGO,2021-02-26,10.09,10.71,9.38,9.73,9.73,26459800.0,26459800.0,-0.36,-3.568,9.94,"February 26, 21",-0.03568
39,BNGO,2021-02-25,10.58,10.92,9.75,10.02,10.02,23971800.0,23971800.0,-0.56,-5.293,10.23,"February 25, 21",-0.05293
40,BNGO,2021-02-24,10.6,11.53,10.4,11.19,11.19,24608200.0,24608200.0,0.59,5.566,11.04,"February 24, 21",0.05566
41,BNGO,2021-02-23,10.11,10.78,8.05,10.22,10.22,57766700.0,57766700.0,0.11,1.088,9.68333,"February 23, 21",0.01088
42,BNGO,2021-02-22,12.77,13.38,11.61,11.85,11.85,28809400.0,28809400.0,-0.92,-7.204,12.28,"February 22, 21",-0.07204
43,BNGO,2021-02-19,13.48,14.35,13.23,13.57,13.57,20448000.0,20448000.0,0.09,0.668,13.71667,"February 19, 21",0.00668
44,BNGO,2021-02-18,13.59,13.81,12.5,12.82,12.82,28869300.0,28869300.0,-0.77,-5.666,13.04333,"February 18, 21",-0.05666
45,BNGO,2021-02-17,14.71,15.09,13.6,14.54,14.54,32034500.0,32034500.0,-0.17,-1.156,14.41,"February 17, 21",-0.01156
46,BNGO,2021-02-16,14.59,15.69,14.07,15.57,15.57,55178600.0,55178600.0,0.98,6.717,15.11,"February 16, 21",0.06717
47,BNGO,2021-02-12,11.72,14.44,11.46,13.7,13.7,101425100.0,101425100.0,1.98,16.894,13.2,"February 12, 21",0.16894
48,BNGO,2021-02-11,11.41,12.36,11.13,11.7,11.7,33094600.0,33094600.0,0.29,2.542,11.73,"February 11, 21",0.02542
49,BNGO,2021-02-10,11.97,12.14,11.07,11.38,11.38,28702500.0,28702500.0,-0.59,-4.929,11.53,"February 10, 21",-0.04929
50,BNGO,2021-02-09,12.41,12.67,11.7,11.8,11.8,35564200.0,35564200.0,-0.61,-4.915,12.05667,"February 09, 21",-0.04915
