,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,DAC,2021-04-21,48.47,51.25,46.68,51.2,51.2,447160.0,447160.0,2.73,5.632,49.71,"April 21, 21",0.05632
1,DAC,2021-04-20,52.9,53.13,47.84,48.47,48.47,873310.0,873310.0,-4.43,-8.374,49.81333,"April 20, 21",-0.08374
2,DAC,2021-04-19,53.11,54.84,52.14,53.05,53.05,459706.0,459706.0,-0.06,-0.113,53.34333,"April 19, 21",-0.00113
3,DAC,2021-04-16,52.0,53.39,51.66,53.11,53.11,437027.0,437027.0,1.11,2.135,52.72,"April 16, 21",0.02135
4,DAC,2021-04-15,54.0,54.13,51.05,51.92,51.92,400800.0,400800.0,-2.08,-3.852,52.36667,"April 15, 21",-0.03852
5,DAC,2021-04-14,51.400002,54.650002,51.400002,53.189999,53.189999,275300.0,275300.0,1.79,3.482,53.08,"April 14, 21",0.03482
6,DAC,2021-04-13,54.119999,54.220001,50.799999,51.720001,51.720001,426500.0,426500.0,-2.4,-4.435,52.24667,"April 13, 21",-0.04435
7,DAC,2021-04-12,56.25,56.25,52.959999,54.119999,54.119999,393600.0,393600.0,-2.13,-3.787,54.44333,"April 12, 21",-0.03787
8,DAC,2021-04-09,56.950001,57.200001,54.200001,56.200001,56.200001,380700.0,380700.0,-0.75,-1.317,55.86667,"April 09, 21",-0.01317
9,DAC,2021-04-08,53.599998,57.299999,52.34,56.630001,56.630001,541500.0,541500.0,3.03,5.653,55.42333,"April 08, 21",0.05653
10,DAC,2021-04-07,51.939999,53.810001,51.299999,53.59,53.59,263500.0,263500.0,1.65,3.177,52.9,"April 07, 21",0.03177
11,DAC,2021-04-06,53.07,54.470001,51.82,52.75,52.75,443200.0,443200.0,-0.32,-0.603,53.01333,"April 06, 21",-0.00603
12,DAC,2021-04-05,52.150002,53.610001,51.75,52.689999,52.689999,436300.0,436300.0,0.54,1.035,52.68333,"April 05, 21",0.01035
13,DAC,2021-04-01,49.540001,51.279999,48.610001,50.970001,50.970001,508600.0,508600.0,1.43,2.887,50.28667,"April 01, 21",0.02887
14,DAC,2021-03-31,51.5,51.950001,48.5,49.610001,49.610001,513600.0,513600.0,-1.89,-3.67,50.02,"March 31, 21",-0.0367
15,DAC,2021-03-30,52.0,53.0,49.5,50.880001,50.880001,346100.0,346100.0,-1.12,-2.154,51.12667,"March 30, 21",-0.02154
16,DAC,2021-03-29,55.0,55.939999,51.110001,51.700001,51.700001,541300.0,541300.0,-3.3,-6.0,52.91667,"March 29, 21",-0.06
17,DAC,2021-03-26,53.200001,57.639999,52.23,54.790001,54.790001,803000.0,803000.0,1.59,2.989,54.88667,"March 26, 21",0.02989
18,DAC,2021-03-25,47.0,51.990002,44.259998,51.48,51.48,751800.0,751800.0,4.48,9.532,49.24333,"March 25, 21",0.09532
19,DAC,2021-03-24,48.68,52.130001,48.279999,48.759998,48.759998,1160300.0,1160300.0,0.08,0.164,49.72333,"March 24, 21",0.00164
20,DAC,2021-03-23,53.060001,53.48,47.060001,47.470001,47.470001,915400.0,915400.0,-5.59,-10.535,49.33667,"March 23, 21",-0.10535
21,DAC,2021-03-22,55.400002,56.189999,51.599998,53.119999,53.119999,703200.0,703200.0,-2.28,-4.116,53.63667,"March 22, 21",-0.04116
22,DAC,2021-03-19,50.279999,54.200001,48.509998,53.349998,53.349998,839400.0,839400.0,3.07,6.106,52.02,"March 19, 21",0.06106
23,DAC,2021-03-18,50.48,53.16,48.919998,49.18,49.18,601600.0,601600.0,-1.3,-2.575,50.42,"March 18, 21",-0.02575
24,DAC,2021-03-17,48.349998,50.02,46.389999,49.889999,49.889999,390300.0,390300.0,1.54,3.185,48.76667,"March 17, 21",0.03185
25,DAC,2021-03-16,49.400002,51.299999,48.110001,48.810001,48.810001,387500.0,387500.0,-0.59,-1.194,49.40667,"March 16, 21",-0.01194
