,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,GNOG,2021-04-15,15.89,15.89,14.21,14.61,14.61,2007600.0,2007600.0,-1.28,-8.055,14.90333,"April 15, 21",-0.08055
1,GNOG,2021-04-14,15.578,16.18,15.36,15.57,15.57,938400.0,938400.0,-0.008,-0.051,15.70333,"April 14, 21",-0.00051
2,GNOG,2021-04-13,15.45,15.78,14.94,15.57,15.57,1257500.0,1257500.0,0.12,0.777,15.43,"April 13, 21",0.00777
3,GNOG,2021-04-12,16.280001,16.33,14.72,15.12,15.12,1840400.0,1840400.0,-1.16,-7.125,15.39,"April 12, 21",-0.07125
4,GNOG,2021-04-09,16.9,17.040001,16.16,16.34,16.34,1850500.0,1850500.0,-0.56,-3.314,16.51333,"April 09, 21",-0.03314
5,GNOG,2021-04-08,15.87,17.16,15.74,17.059999,17.059999,2672700.0,2672700.0,1.19,7.498,16.65333,"April 08, 21",0.07498
6,GNOG,2021-04-07,15.6,16.0,14.907,15.52,15.52,1684000.0,1684000.0,-0.08,-0.513,15.47567,"April 07, 21",-0.00513
7,GNOG,2021-04-06,14.84,15.87,14.602,15.48,15.48,3636400.0,3636400.0,0.64,4.313,15.31733,"April 06, 21",0.04313
8,GNOG,2021-04-05,14.228,14.31,13.598,13.79,13.79,924400.0,924400.0,-0.438,-3.078,13.89933,"April 05, 21",-0.03078
9,GNOG,2021-04-01,13.71,14.176,13.36,13.83,13.83,1053300.0,1053300.0,0.12,0.875,13.78867,"April 01, 21",0.00875
10,GNOG,2021-03-31,13.07,13.65,12.82,13.5,13.5,1072600.0,1072600.0,0.43,3.29,13.32333,"March 31, 21",0.0329
11,GNOG,2021-03-30,12.74,12.87,12.221,12.8,12.8,1687800.0,1687800.0,0.06,0.471,12.63033,"March 30, 21",0.00471
12,GNOG,2021-03-29,13.51,13.51,12.61,12.82,12.82,1611100.0,1611100.0,-0.69,-5.107,12.98,"March 29, 21",-0.05107
13,GNOG,2021-03-26,14.17,14.45,13.28,13.56,13.56,1754700.0,1754700.0,-0.61,-4.305,13.76333,"March 26, 21",-0.04305
14,GNOG,2021-03-25,13.4,14.41,13.31,14.25,14.25,1628800.0,1628800.0,0.85,6.343,13.99,"March 25, 21",0.06343
15,GNOG,2021-03-24,15.5,15.94,13.71,13.74,13.74,4408700.0,4408700.0,-1.76,-11.355,14.46333,"March 24, 21",-0.11355
16,GNOG,2021-03-23,16.629999,16.775999,16.0,16.01,16.01,1620500.0,1620500.0,-0.62,-3.728,16.262,"March 23, 21",-0.03728
17,GNOG,2021-03-22,17.25,17.35,16.6,16.629999,16.629999,1601200.0,1601200.0,-0.62,-3.594,16.86,"March 22, 21",-0.03594
18,GNOG,2021-03-19,16.67,17.139999,15.88,16.889999,16.889999,3310600.0,3310600.0,0.22,1.32,16.63667,"March 19, 21",0.0132
19,GNOG,2021-03-18,17.25,17.43,16.4,16.57,16.57,1731100.0,1731100.0,-0.68,-3.942,16.8,"March 18, 21",-0.03942
20,GNOG,2021-03-17,16.858999,17.65,16.631001,17.35,17.35,2010400.0,2010400.0,0.491,2.912,17.21033,"March 17, 21",0.02912
21,GNOG,2021-03-16,18.492001,19.18,17.162001,17.35,17.35,3266400.0,3266400.0,-1.142,-6.176,17.89733,"March 16, 21",-0.06176
22,GNOG,2021-03-15,17.139999,18.040001,16.700001,17.870001,17.870001,2120500.0,2120500.0,0.73,4.259,17.53667,"March 15, 21",0.04259
23,GNOG,2021-03-12,16.25,16.940001,16.002001,16.82,16.82,1125200.0,1125200.0,0.57,3.508,16.58733,"March 12, 21",0.03508
24,GNOG,2021-03-11,16.450001,16.84,16.059999,16.82,16.82,1880300.0,1880300.0,0.37,2.249,16.57333,"March 11, 21",0.02249
25,GNOG,2021-03-10,15.09,16.370001,14.91,15.64,15.64,3023600.0,3023600.0,0.55,3.645,15.64,"March 10, 21",0.03645
26,GNOG,2021-03-09,13.972,14.94,13.96,14.77,14.77,2584600.0,2584600.0,0.798,5.711,14.55667,"March 09, 21",0.05711
27,GNOG,2021-03-08,14.0,14.39,13.39,13.58,13.58,3525800.0,3525800.0,-0.42,-3.0,13.78667,"March 08, 21",-0.03
28,GNOG,2021-03-05,13.6,13.678,12.315,13.525,13.525,2495600.0,2495600.0,-0.075,-0.551,13.17267,"March 05, 21",-0.00551
29,GNOG,2021-03-04,14.45,14.8,13.08,13.65,13.65,2872400.0,2872400.0,-0.8,-5.536,13.84333,"March 04, 21",-0.05536
30,GNOG,2021-03-03,16.200001,16.200001,14.57,14.63,14.63,2693200.0,2693200.0,-1.57,-9.691,15.13333,"March 03, 21",-0.09691
31,GNOG,2021-03-02,16.1,16.780001,15.77,16.200001,16.200001,3278100.0,3278100.0,0.1,0.621,16.25,"March 02, 21",0.00621
32,GNOG,2021-03-01,14.8,15.54,14.09,15.36,15.36,4169900.0,4169900.0,0.56,3.784,14.99667,"March 01, 21",0.03784
33,GNOG,2021-02-26,14.24,14.72,14.031,14.27,14.27,1832000.0,1832000.0,0.03,0.211,14.34033,"February 26, 21",0.00211
34,GNOG,2021-02-25,15.04,15.28,14.04,14.27,14.27,2292000.0,2292000.0,-0.77,-5.12,14.53,"February 25, 21",-0.0512
35,GNOG,2021-02-24,15.825,16.0,15.0,15.28,15.28,1917500.0,1917500.0,-0.545,-3.444,15.42667,"February 24, 21",-0.03444
36,GNOG,2021-02-23,14.58,15.119,13.38,15.04,15.04,2970400.0,2970400.0,0.46,3.155,14.513,"February 23, 21",0.03155
37,GNOG,2021-02-22,16.68,16.77,15.4,15.54,15.54,3389100.0,3389100.0,-1.14,-6.835,15.90333,"February 22, 21",-0.06835
38,GNOG,2021-02-19,17.16,17.18,16.719999,16.940001,16.940001,1544500.0,1544500.0,-0.22,-1.282,16.94667,"February 19, 21",-0.01282
39,GNOG,2021-02-18,17.030001,17.34,16.540001,16.950001,16.950001,1639500.0,1639500.0,-0.08,-0.47,16.94333,"February 18, 21",-0.0047
40,GNOG,2021-02-17,17.68,17.752001,17.1,17.200001,17.200001,1759600.0,1759600.0,-0.48,-2.715,17.35067,"February 17, 21",-0.02715
41,GNOG,2021-02-16,18.25,18.450001,17.709999,17.889999,17.889999,1696700.0,1696700.0,-0.36,-1.973,18.01667,"February 16, 21",-0.01973
42,GNOG,2021-02-12,17.700001,18.530001,17.57,18.32,18.32,1993300.0,1993300.0,0.62,3.503,18.14,"February 12, 21",0.03503
43,GNOG,2021-02-11,18.233999,18.25,17.459999,17.58,17.58,2532900.0,2532900.0,-0.654,-3.587,17.76333,"February 11, 21",-0.03587
44,GNOG,2021-02-10,18.93,18.950001,17.889999,18.24,18.24,2286600.0,2286600.0,-0.69,-3.645,18.36,"February 10, 21",-0.03645
45,GNOG,2021-02-09,18.290001,19.09,18.01,18.870001,18.870001,3134300.0,3134300.0,0.58,3.171,18.65667,"February 09, 21",0.03171
46,GNOG,2021-02-08,18.708,18.827,18.17,18.4,18.4,2407300.0,2407300.0,-0.308,-1.646,18.46567,"February 08, 21",-0.01646
47,GNOG,2021-02-05,18.950001,18.969999,18.370001,18.51,18.51,1698700.0,1698700.0,-0.44,-2.322,18.61667,"February 05, 21",-0.02322
48,GNOG,2021-02-04,19.6,19.700001,18.52,18.620001,18.620001,2574400.0,2574400.0,-0.98,-5.0,18.94667,"February 04, 21",-0.05
49,GNOG,2021-02-03,20.08,20.1,19.299999,19.34,19.34,1313100.0,1313100.0,-0.74,-3.685,19.58,"February 03, 21",-0.03685
50,GNOG,2021-02-02,19.68,20.1,19.08,19.49,19.49,2140300.0,2140300.0,-0.19,-0.965,19.55667,"February 02, 21",-0.00965
51,GNOG,2021-02-01,18.059,19.290001,17.809999,18.82,18.82,2496300.0,2496300.0,0.761,4.214,18.64,"February 01, 21",0.04214
52,GNOG,2021-01-29,18.15,18.34,17.32,17.85,17.85,2639500.0,2639500.0,-0.3,-1.653,17.83667,"January 29, 21",-0.01653
53,GNOG,2021-01-28,18.201,18.99,18.030001,18.459999,18.459999,1823200.0,1823200.0,0.259,1.423,18.49333,"January 28, 21",0.01423
54,GNOG,2021-01-27,18.796,19.389999,18.01,18.35,18.35,3474500.0,3474500.0,-0.446,-2.373,18.58333,"January 27, 21",-0.02373
55,GNOG,2021-01-26,20.299999,20.341,19.33,19.82,19.82,3746200.0,3746200.0,-0.48,-2.365,19.83033,"January 26, 21",-0.02365
56,GNOG,2021-01-25,20.76,21.41,19.950001,20.34,20.34,3328800.0,3328800.0,-0.42,-2.023,20.56667,"January 25, 21",-0.02023
57,GNOG,2021-01-22,20.049999,20.895,19.870001,20.690001,20.690001,1643600.0,1643600.0,0.64,3.192,20.485,"January 22, 21",0.03192
58,GNOG,2021-01-21,21.35,21.459999,20.27,20.4,20.4,1766500.0,1766500.0,-0.95,-4.45,20.71,"January 21, 21",-0.0445
59,GNOG,2021-01-20,20.15,21.09,19.620001,20.879999,20.879999,2306800.0,2306800.0,0.73,3.623,20.53,"January 20, 21",0.03623
60,GNOG,2021-01-19,20.74,20.875999,19.93,20.379999,20.379999,2214400.0,2214400.0,-0.36,-1.736,20.39533,"January 19, 21",-0.01736
61,GNOG,2021-01-15,21.743999,21.969999,20.219999,20.76,20.76,2607800.0,2607800.0,-0.984,-4.525,20.98333,"January 15, 21",-0.04525
62,GNOG,2021-01-14,22.85,22.889999,21.51,21.940001,21.940001,2179000.0,2179000.0,-0.91,-3.982,22.11333,"January 14, 21",-0.03982
63,GNOG,2021-01-13,21.719999,23.41,21.26,22.790001,22.790001,3358900.0,3358900.0,1.07,4.926,22.48667,"January 13, 21",0.04926
64,GNOG,2021-01-12,19.27,20.889999,18.82,20.530001,20.530001,3221200.0,3221200.0,1.26,6.539,20.08,"January 12, 21",0.06539
65,GNOG,2021-01-11,19.66,20.150999,18.9,19.530001,19.530001,2356100.0,2356100.0,-0.13,-0.661,19.527,"January 11, 21",-0.00661
66,GNOG,2021-01-08,20.25,20.700001,19.587,20.219999,20.219999,2939500.0,2939500.0,-0.03,-0.148,20.169,"January 08, 21",-0.00148
67,GNOG,2021-01-07,21.257,21.440001,19.58,20.17,20.17,3255300.0,3255300.0,-1.087,-5.114,20.39667,"January 07, 21",-0.05114
