,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,LI,2021-04-21,19.01,19.8,18.68,19.78,19.78,10799419.0,10799419.0,0.77,4.05,19.42,"April 21, 21",0.0405
1,LI,2021-04-20,19.2,19.64,18.79,19.16,19.16,7307467.0,7307467.0,-0.04,-0.208,19.19667,"April 20, 21",-0.00208
2,LI,2021-04-19,19.39,19.5,18.54,19.25,19.25,10704394.0,10704394.0,-0.14,-0.722,19.09667,"April 19, 21",-0.00722
3,LI,2021-04-16,19.45,19.48,18.9,19.28,19.28,11861026.0,11861026.0,-0.17,-0.874,19.22,"April 16, 21",-0.00874
4,LI,2021-04-15,20.89,20.96,19.2,19.68,19.68,22391910.0,22391910.0,-1.21,-5.792,19.94667,"April 15, 21",-0.05792
5,LI,2021-04-14,21.959999,22.110001,20.85,21.1,21.1,11531900.0,11531900.0,-0.86,-3.916,21.35333,"April 14, 21",-0.03916
6,LI,2021-04-13,21.92,22.059999,21.26,21.82,21.82,11273900.0,11273900.0,-0.1,-0.456,21.71333,"April 13, 21",-0.00456
7,LI,2021-04-12,22.674,22.719999,21.6,21.780001,21.780001,10725900.0,10725900.0,-0.894,-3.943,22.03333,"April 12, 21",-0.03943
8,LI,2021-04-09,22.9,22.98,22.309999,22.76,22.76,7196800.0,7196800.0,-0.14,-0.611,22.68333,"April 09, 21",-0.00611
9,LI,2021-04-08,23.02,23.5,22.34,23.23,23.23,20397600.0,20397600.0,0.21,0.912,23.02333,"April 08, 21",0.00912
10,LI,2021-04-07,24.26,24.26,22.08,22.23,22.23,37793400.0,37793400.0,-2.03,-8.368,22.85667,"April 07, 21",-0.08368
11,LI,2021-04-06,24.889999,25.75,24.43,25.530001,25.530001,6261400.0,6261400.0,0.64,2.571,25.23667,"April 06, 21",0.02571
12,LI,2021-04-05,25.870001,26.0,24.76,24.940001,24.940001,5775800.0,5775800.0,-0.93,-3.595,25.23333,"April 05, 21",-0.03595
13,LI,2021-04-01,26.098,26.129999,25.01,25.25,25.25,7099700.0,7099700.0,-0.848,-3.249,25.46333,"April 01, 21",-0.03249
14,LI,2021-03-31,23.57,25.16,23.5,25.0,25.0,14390500.0,14390500.0,1.43,6.067,24.55333,"March 31, 21",0.06067
15,LI,2021-03-30,21.915001,23.33,21.52,23.08,23.08,13175400.0,13175400.0,1.165,5.316,22.64333,"March 30, 21",0.05316
16,LI,2021-03-29,23.639999,24.219999,22.205,22.6,22.6,12278700.0,12278700.0,-1.04,-4.399,23.00833,"March 29, 21",-0.04399
17,LI,2021-03-26,22.985001,24.294001,22.549999,23.700001,23.700001,13687700.0,13687700.0,0.715,3.111,23.51467,"March 26, 21",0.03111
18,LI,2021-03-25,22.084,23.790001,22.0,23.5,23.5,9668600.0,9668600.0,1.416,6.412,23.09667,"March 25, 21",0.06412
19,LI,2021-03-24,25.75,25.950001,22.530001,22.889999,22.889999,18726900.0,18726900.0,-2.86,-11.107,23.79,"March 24, 21",-0.11107
20,LI,2021-03-23,25.780001,27.040001,25.639999,26.370001,26.370001,10275900.0,10275900.0,0.59,2.289,26.35,"March 23, 21",0.02289
21,LI,2021-03-22,26.534,27.32,26.370001,26.82,26.82,8968400.0,8968400.0,0.286,1.078,26.83667,"March 22, 21",0.01078
22,LI,2021-03-19,24.903999,26.51,24.540001,26.280001,26.280001,27773600.0,27773600.0,1.376,5.525,25.77667,"March 19, 21",0.05525
23,LI,2021-03-18,24.84,25.799999,24.66,25.059999,25.059999,12722000.0,12722000.0,0.22,0.886,25.17333,"March 18, 21",0.00886
24,LI,2021-03-17,24.965,25.440001,24.315001,25.43,25.43,12917800.0,12917800.0,0.465,1.863,25.06167,"March 17, 21",0.01863
25,LI,2021-03-16,26.15,26.639999,25.51,25.84,25.84,11024200.0,11024200.0,-0.31,-1.185,25.99667,"March 16, 21",-0.01185
26,LI,2021-03-15,25.799999,26.139999,25.4,25.9,25.9,8533500.0,8533500.0,0.1,0.388,25.81333,"March 15, 21",0.00388
27,LI,2021-03-12,24.889999,25.799999,24.57,25.690001,25.690001,11703000.0,11703000.0,0.8,3.214,25.35333,"March 12, 21",0.03214
28,LI,2021-03-11,25.0,26.33,24.309999,26.02,26.02,22841300.0,22841300.0,1.02,4.08,25.55333,"March 11, 21",0.0408
29,LI,2021-03-10,24.35,25.4,22.809999,23.34,23.34,18587300.0,18587300.0,-1.01,-4.148,23.85,"March 10, 21",-0.04148
30,LI,2021-03-09,22.610001,24.85,22.57,23.08,23.08,27468300.0,27468300.0,0.47,2.079,23.5,"March 09, 21",0.02079
31,LI,2021-03-08,22.440001,23.65,21.200001,21.33,21.33,15913500.0,15913500.0,-1.11,-4.947,22.06,"March 08, 21",-0.04947
32,LI,2021-03-05,22.063999,22.68,19.690001,22.459999,22.459999,24160900.0,24160900.0,0.396,1.795,21.61,"March 05, 21",0.01795
33,LI,2021-03-04,22.360001,23.344999,20.809999,22.32,22.32,31580900.0,31580900.0,-0.04,-0.179,22.15833,"March 04, 21",-0.00179
34,LI,2021-03-03,24.32,24.75,22.658001,22.77,22.77,19298100.0,19298100.0,-1.55,-6.373,23.39267,"March 03, 21",-0.06373
35,LI,2021-03-02,25.01,25.33,23.610001,23.74,23.74,17366900.0,17366900.0,-1.27,-5.078,24.22667,"March 02, 21",-0.05078
36,LI,2021-03-01,25.93,26.51,25.6,25.860001,25.860001,12646500.0,12646500.0,-0.07,-0.27,25.99,"March 01, 21",-0.0027
37,LI,2021-02-26,26.34,26.801001,24.58,25.370001,25.370001,39284500.0,39284500.0,-0.97,-3.683,25.58367,"February 26, 21",-0.03683
38,LI,2021-02-25,28.9,29.01,25.129999,25.870001,25.870001,37485100.0,37485100.0,-3.03,-10.484,26.67,"February 25, 21",-0.10484
