,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,MSFT,2021-04-21,258.94,260.68,257.25,260.58,260.58,24113608.0,24113608.0,1.64,0.633,259.50333,"April 21, 21",0.00633
1,MSFT,2021-04-20,257.82,260.2,256.84,258.26,258.26,19736922.0,19736922.0,0.44,0.171,258.43333,"April 20, 21",0.00171
2,MSFT,2021-04-19,260.19,261.48,257.82,258.74,258.74,23392958.0,23392958.0,-1.45,-0.557,259.34667,"April 19, 21",-0.00557
3,MSFT,2021-04-16,259.47,261.0,257.6,260.74,260.74,24866029.0,24866029.0,1.27,0.489,259.78,"April 16, 21",0.00489
4,MSFT,2021-04-15,257.93,259.93,257.73,259.5,259.5,25699859.0,25699859.0,1.57,0.609,259.05333,"April 15, 21",0.00609
5,MSFT,2021-04-14,257.480011,258.829987,255.160004,255.589996,255.589996,23070900.0,23070900.0,-1.89001,-0.734,256.52666,"April 14, 21",-0.00734
6,MSFT,2021-04-13,257.26001,259.190002,256.829987,258.48999,258.48999,23837500.0,23837500.0,1.22998,0.478,258.16999,"April 13, 21",0.00478
7,MSFT,2021-04-12,254.710007,257.670013,254.619995,255.910004,255.910004,27148700.0,27148700.0,1.2,0.471,256.06667,"April 12, 21",0.00471
8,MSFT,2021-04-09,252.869995,255.990005,252.440002,255.850006,255.850006,24326800.0,24326800.0,2.98001,1.178,254.76,"April 09, 21",0.01178
9,MSFT,2021-04-08,252.770004,254.139999,252.0,253.25,253.25,23625200.0,23625200.0,0.48,0.19,253.13,"April 08, 21",0.0019
10,MSFT,2021-04-07,247.809998,250.929993,247.190002,249.899994,249.899994,22719800.0,22719800.0,2.09,0.843,249.34,"April 07, 21",0.00843
11,MSFT,2021-04-06,247.610001,249.399994,246.880005,247.860001,247.860001,22931900.0,22931900.0,0.25,0.101,248.04667,"April 06, 21",0.00101
12,MSFT,2021-04-05,242.759995,249.960007,242.699997,249.070007,249.070007,36910600.0,36910600.0,6.31001,2.599,247.24334,"April 05, 21",0.02599
13,MSFT,2021-04-01,238.470001,242.839996,238.050003,242.350006,242.350006,30338000.0,30338000.0,3.88001,1.627,241.08,"April 01, 21",0.01627
14,MSFT,2021-03-31,232.910004,239.100006,232.389999,235.770004,235.770004,43623500.0,43623500.0,2.86,1.228,235.75334,"March 31, 21",0.01228
15,MSFT,2021-03-30,233.529999,233.850006,231.100006,231.850006,231.850006,24792000.0,24792000.0,-1.67999,-0.719,232.26667,"March 30, 21",-0.00719
16,MSFT,2021-03-29,236.589996,236.800003,231.880005,235.240005,235.240005,25227500.0,25227500.0,-1.34999,-0.571,234.64,"March 29, 21",-0.00571
17,MSFT,2021-03-26,231.550003,236.710007,231.550003,236.479996,236.479996,25479900.0,25479900.0,4.92999,2.129,234.91334,"March 26, 21",0.02129
18,MSFT,2021-03-25,235.300003,236.940002,231.570007,232.339996,232.339996,34061900.0,34061900.0,-2.96001,-1.258,233.61667,"March 25, 21",-0.01258
19,MSFT,2021-03-24,237.850006,238.0,235.320007,235.460007,235.460007,25620100.0,25620100.0,-2.39,-1.005,236.26,"March 24, 21",-0.01005
20,MSFT,2021-03-23,237.490005,241.050003,237.070007,237.580002,237.580002,31638400.0,31638400.0,0.09,0.038,238.56667,"March 23, 21",0.00038
21,MSFT,2021-03-22,230.270004,236.899994,230.139999,235.990005,235.990005,30127000.0,30127000.0,5.72,2.484,234.34333,"March 22, 21",0.02484
22,MSFT,2021-03-19,231.020004,232.470001,229.350006,230.350006,230.350006,46430700.0,46430700.0,-0.67,-0.29,230.72334,"March 19, 21",-0.0029
23,MSFT,2021-03-18,232.559998,234.190002,230.330002,230.720001,230.720001,34852300.0,34852300.0,-1.84,-0.791,231.74667,"March 18, 21",-0.00791
24,MSFT,2021-03-17,236.149994,238.550003,233.229996,237.039993,237.039993,29562100.0,29562100.0,0.89,0.377,236.27333,"March 17, 21",0.00377
25,MSFT,2021-03-16,236.279999,240.059998,235.940002,237.710007,237.710007,28092200.0,28092200.0,1.43001,0.605,237.90334,"March 16, 21",0.00605
26,MSFT,2021-03-15,234.960007,235.190002,231.809998,234.809998,234.809998,26034900.0,26034900.0,-0.15001,-0.064,233.93667,"March 15, 21",-0.00064
27,MSFT,2021-03-12,234.009995,235.820007,233.229996,235.75,235.75,22653700.0,22653700.0,1.74,0.744,234.93333,"March 12, 21",0.00744
28,MSFT,2021-03-11,234.960007,239.169998,234.309998,237.130005,237.130005,29907600.0,29907600.0,2.17,0.924,236.87,"March 11, 21",0.00924
29,MSFT,2021-03-10,237.0,237.0,232.039993,232.419998,232.419998,29746800.0,29746800.0,-4.58,-1.932,233.82,"March 10, 21",-0.01932
30,MSFT,2021-03-09,232.880005,235.380005,231.669998,233.779999,233.779999,33080500.0,33080500.0,0.89999,0.386,233.61,"March 09, 21",0.00386
31,MSFT,2021-03-08,231.369995,233.369995,227.130005,227.389999,227.389999,35267400.0,35267400.0,-3.98,-1.72,229.29667,"March 08, 21",-0.0172
32,MSFT,2021-03-05,229.520004,233.270004,226.460007,231.600006,231.600006,41872800.0,41872800.0,2.08,0.906,230.44334,"March 05, 21",0.00906
33,MSFT,2021-03-04,226.740005,232.490005,224.259995,226.729996,226.729996,44727800.0,44727800.0,-0.01001,-0.004,227.82667,"March 04, 21",-4e-05
34,MSFT,2021-03-03,232.160004,233.580002,227.259995,227.559998,227.559998,34029500.0,34029500.0,-4.60001,-1.981,229.46667,"March 03, 21",-0.01981
35,MSFT,2021-03-02,237.009995,237.300003,233.449997,233.869995,233.869995,22812500.0,22812500.0,-3.14,-1.325,234.87333,"March 02, 21",-0.01325
36,MSFT,2021-03-01,235.899994,237.470001,233.149994,236.940002,236.940002,25324000.0,25324000.0,1.04001,0.441,235.85333,"March 01, 21",0.00441
37,MSFT,2021-02-26,231.529999,235.369995,229.539993,232.380005,232.380005,37819200.0,37819200.0,0.85001,0.367,232.43,"February 26, 21",0.00367
38,MSFT,2021-02-25,232.080002,234.589996,227.880005,228.990005,228.990005,39542200.0,39542200.0,-3.09,-1.331,230.48667,"February 25, 21",-0.01331
39,MSFT,2021-02-24,230.009995,235.199997,229.0,234.550003,234.550003,26339700.0,26339700.0,4.54001,1.974,232.91667,"February 24, 21",0.01974
40,MSFT,2021-02-23,230.330002,234.830002,228.729996,233.270004,233.270004,30228700.0,30228700.0,2.94,1.276,232.27667,"February 23, 21",0.01276
41,MSFT,2021-02-22,237.419998,237.929993,232.399994,234.509995,234.509995,36446900.0,36446900.0,-2.91,-1.226,234.94666,"February 22, 21",-0.01226
42,MSFT,2021-02-19,243.75,243.860001,240.179993,240.970001,240.970001,25262600.0,25262600.0,-2.78,-1.141,241.67,"February 19, 21",-0.01141
43,MSFT,2021-02-18,241.800003,243.929993,240.860001,243.789993,243.789993,16925600.0,16925600.0,1.98999,0.823,242.86,"February 18, 21",0.00823
44,MSFT,2021-02-17,241.320007,244.309998,240.940002,244.199997,244.199997,21653500.0,21653500.0,2.87999,1.193,243.15,"February 17, 21",0.01193
45,MSFT,2021-02-16,245.029999,246.130005,242.919998,243.699997,243.139999,26728500.0,26728500.0,-1.33,-0.543,244.25,"February 16, 21",-0.00543
46,MSFT,2021-02-12,243.929993,245.300003,242.729996,244.990005,244.427048,16561100.0,16561100.0,1.06001,0.435,244.34,"February 12, 21",0.00435
47,MSFT,2021-02-11,244.779999,245.149994,242.149994,244.490005,243.928192,15751100.0,15751100.0,-0.28999,-0.118,243.93,"February 11, 21",-0.00118
48,MSFT,2021-02-10,245.0,245.919998,240.889999,242.820007,242.262039,22186700.0,22186700.0,-2.17999,-0.89,243.21,"February 10, 21",-0.0089
49,MSFT,2021-02-09,241.869995,244.759995,241.380005,243.770004,243.209854,23565000.0,23565000.0,1.90001,0.786,243.30333,"February 09, 21",0.00786
50,MSFT,2021-02-08,243.149994,243.679993,240.809998,242.470001,241.912842,22211900.0,22211900.0,-0.67999,-0.28,242.32,"February 08, 21",-0.0028
51,MSFT,2021-02-05,242.229996,243.279999,240.419998,242.199997,242.199997,18043900.0,18043900.0,-0.03,-0.012,241.96666,"February 05, 21",-0.00012
52,MSFT,2021-02-04,242.660004,243.240005,240.369995,242.009995,242.009995,25296100.0,25296100.0,-0.65001,-0.268,241.87333,"February 04, 21",-0.00268
53,MSFT,2021-02-03,239.570007,245.089996,239.259995,243.0,243.0,27158100.0,27158100.0,3.42999,1.432,242.45,"February 03, 21",0.01432
54,MSFT,2021-02-02,241.300003,242.309998,238.690002,239.509995,239.509995,25916300.0,25916300.0,-1.79001,-0.742,240.17,"February 02, 21",-0.00742
55,MSFT,2021-02-01,235.059998,242.5,232.429993,239.649994,239.649994,33314200.0,33314200.0,4.59,1.953,238.19333,"February 01, 21",0.01953
56,MSFT,2021-01-29,235.990005,238.020004,231.350006,231.960007,231.960007,42468900.0,42468900.0,-4.03,-1.708,233.77667,"January 29, 21",-0.01708
57,MSFT,2021-01-28,235.610001,242.639999,235.089996,238.929993,238.929993,49111200.0,49111200.0,3.31999,1.409,238.88666,"January 28, 21",0.01409
58,MSFT,2021-01-27,238.0,240.440002,230.139999,232.899994,232.899994,69870600.0,69870600.0,-5.10001,-2.143,234.49333,"January 27, 21",-0.02143
59,MSFT,2021-01-26,231.860001,234.179993,230.080002,232.330002,232.330002,49169600.0,49169600.0,0.47,0.203,232.19667,"January 26, 21",0.00203
60,MSFT,2021-01-25,229.119995,229.779999,224.220001,229.529999,229.529999,33152100.0,33152100.0,0.41,0.179,227.84333,"January 25, 21",0.00179
61,MSFT,2021-01-22,227.080002,230.070007,225.800003,225.949997,225.949997,30124900.0,30124900.0,-1.13001,-0.498,227.27334,"January 22, 21",-0.00498
62,MSFT,2021-01-21,224.699997,226.300003,222.419998,224.970001,224.970001,30749600.0,30749600.0,0.27,0.12,224.56333,"January 21, 21",0.0012
63,MSFT,2021-01-20,217.699997,225.789993,217.289993,224.339996,224.339996,37777300.0,37777300.0,6.64,3.05,222.47333,"January 20, 21",0.0305
64,MSFT,2021-01-19,213.75,216.979996,212.630005,216.440002,216.440002,30480900.0,30480900.0,2.69,1.258,215.35,"January 19, 21",0.01258
65,MSFT,2021-01-15,213.520004,214.509995,212.029999,212.649994,212.649994,31746500.0,31746500.0,-0.87001,-0.407,213.06333,"January 15, 21",-0.00407
66,MSFT,2021-01-14,215.910004,217.460007,212.740005,213.020004,213.020004,29480800.0,29480800.0,-2.89,-1.339,214.40667,"January 14, 21",-0.01339
67,MSFT,2021-01-13,214.020004,216.759995,213.929993,216.339996,216.339996,20087100.0,20087100.0,2.31999,1.084,215.67666,"January 13, 21",0.01084
68,MSFT,2021-01-12,216.5,217.100006,213.320007,214.929993,214.929993,23249300.0,23249300.0,-1.57001,-0.725,215.11667,"January 12, 21",-0.00725
69,MSFT,2021-01-11,218.470001,218.910004,216.729996,217.490005,217.490005,23047000.0,23047000.0,-0.98,-0.449,217.71,"January 11, 21",-0.00449
70,MSFT,2021-01-08,218.679993,220.580002,217.029999,219.619995,219.619995,22956200.0,22956200.0,0.94,0.43,219.07667,"January 08, 21",0.0043
71,MSFT,2021-01-07,214.039993,219.339996,213.710007,218.289993,218.289993,27694500.0,27694500.0,4.25,1.986,217.11333,"January 07, 21",0.01986
72,MSFT,2021-01-06,212.169998,216.490005,211.940002,212.25,212.25,35930700.0,35930700.0,0.08,0.038,213.56,"January 06, 21",0.00038
73,MSFT,2021-01-05,217.259995,218.520004,215.699997,217.899994,217.899994,23823000.0,23823000.0,0.64,0.295,217.37333,"January 05, 21",0.00295
74,MSFT,2021-01-04,222.529999,223.0,214.809998,217.690002,217.690002,37130100.0,37130100.0,-4.84,-2.175,218.5,"January 04, 21",-0.02175
75,MSFT,2020-12-31,221.699997,223.0,219.679993,222.419998,222.419998,20926900.0,20926900.0,0.72,0.325,221.7,"December 31, 20",0.00325
