,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,NVS,2021-04-21,88.32,88.96,88.25,88.66,88.66,2211985.0,2211985.0,0.34,0.385,88.62333,"April 21, 21",0.00385
1,NVS,2021-04-20,87.78,88.09,87.66,87.83,87.83,2329787.0,2329787.0,0.05,0.057,87.86,"April 20, 21",0.00057
2,NVS,2021-04-19,88.49,88.57,88.1,88.38,88.38,1932473.0,1932473.0,-0.11,-0.124,88.35,"April 19, 21",-0.00124
3,NVS,2021-04-16,87.44,88.07,87.2,88.02,88.02,1896006.0,1896006.0,0.58,0.663,87.76333,"April 16, 21",0.00663
4,NVS,2021-04-15,86.86,87.83,86.82,87.2,87.2,2321593.0,2321593.0,0.34,0.391,87.28333,"April 15, 21",0.00391
5,NVS,2021-04-14,86.459999,86.889999,86.459999,86.75,86.75,1701500.0,1701500.0,0.29,0.335,86.7,"April 14, 21",0.00335
6,NVS,2021-04-13,86.190002,86.919998,86.18,86.610001,86.610001,1848800.0,1848800.0,0.42,0.487,86.57,"April 13, 21",0.00487
7,NVS,2021-04-12,87.220001,87.650002,87.129997,87.339996,87.339996,1222800.0,1222800.0,0.12,0.138,87.37333,"April 12, 21",0.00138
8,NVS,2021-04-09,87.160004,87.68,87.160004,87.550003,87.550003,1792500.0,1792500.0,0.39,0.447,87.46334,"April 09, 21",0.00447
9,NVS,2021-04-08,86.730003,87.370003,86.68,86.989998,86.989998,2374000.0,2374000.0,0.26,0.3,87.01333,"April 08, 21",0.003
10,NVS,2021-04-07,86.379997,86.669998,86.120003,86.300003,86.300003,2140500.0,2140500.0,-0.07999,-0.093,86.36333,"April 07, 21",-0.00093
11,NVS,2021-04-06,86.910004,87.489998,85.980003,86.360001,86.360001,3264100.0,3264100.0,-0.55,-0.633,86.61,"April 06, 21",-0.00633
12,NVS,2021-04-05,86.360001,87.43,86.260002,87.269997,87.269997,1092400.0,1092400.0,0.91,1.054,86.98667,"April 05, 21",0.01054
13,NVS,2021-04-01,85.660004,86.559998,85.519997,86.080002,86.080002,1567100.0,1567100.0,0.42,0.49,86.05333,"April 01, 21",0.0049
14,NVS,2021-03-31,85.669998,86.110001,85.440002,85.480003,85.480003,2350000.0,2350000.0,-0.19,-0.222,85.67667,"March 31, 21",-0.00222
15,NVS,2021-03-30,86.830002,87.279999,86.309998,87.019997,87.019997,1703000.0,1703000.0,0.19,0.219,86.87,"March 30, 21",0.00219
16,NVS,2021-03-29,87.32,87.82,87.230003,87.349998,87.349998,1568300.0,1568300.0,0.03,0.034,87.46667,"March 29, 21",0.00034
17,NVS,2021-03-26,86.809998,87.5,86.68,87.410004,87.410004,1572600.0,1572600.0,0.60001,0.691,87.19667,"March 26, 21",0.00691
18,NVS,2021-03-25,86.970001,87.379997,86.410004,87.209999,87.209999,2213500.0,2213500.0,0.24,0.276,87.0,"March 25, 21",0.00276
19,NVS,2021-03-24,85.989998,86.43,85.699997,86.019997,86.019997,1385000.0,1385000.0,0.03,0.035,86.05,"March 24, 21",0.00035
20,NVS,2021-03-23,86.209999,87.029999,86.07,86.260002,86.260002,1597800.0,1597800.0,0.05,0.058,86.45333,"March 23, 21",0.00058
21,NVS,2021-03-22,85.519997,86.669998,85.459999,86.510002,86.510002,1447300.0,1447300.0,0.99,1.158,86.21333,"March 22, 21",0.01158
22,NVS,2021-03-19,85.620003,86.120003,85.360001,85.940002,85.940002,1332600.0,1332600.0,0.32,0.374,85.80667,"March 19, 21",0.00374
23,NVS,2021-03-18,85.160004,85.870003,85.110001,85.18,85.18,1173500.0,1173500.0,0.02,0.023,85.38667,"March 18, 21",0.00023
24,NVS,2021-03-17,85.150002,85.849998,84.690002,85.639999,85.639999,1389400.0,1389400.0,0.49,0.575,85.39333,"March 17, 21",0.00575
25,NVS,2021-03-16,85.410004,86.110001,85.400002,86.010002,86.010002,1431500.0,1431500.0,0.6,0.702,85.84,"March 16, 21",0.00702
26,NVS,2021-03-15,84.339996,85.330002,83.769997,85.290001,85.290001,2308000.0,2308000.0,0.95001,1.126,84.79667,"March 15, 21",0.01126
27,NVS,2021-03-12,83.889999,84.18,83.669998,84.129997,84.129997,1374700.0,1374700.0,0.24,0.286,83.99333,"March 12, 21",0.00286
28,NVS,2021-03-11,84.68,85.269997,84.349998,84.739998,84.739998,1535000.0,1535000.0,0.06,0.071,84.78666,"March 11, 21",0.00071
29,NVS,2021-03-10,84.510002,84.599998,83.949997,84.190002,84.190002,1708300.0,1708300.0,-0.32,-0.379,84.24667,"March 10, 21",-0.00379
30,NVS,2021-03-09,83.849998,84.489998,83.540001,83.540001,83.540001,2083900.0,2083900.0,-0.31,-0.37,83.85667,"March 09, 21",-0.0037
31,NVS,2021-03-08,83.989998,84.739998,83.620003,83.730003,83.730003,1925400.0,1925400.0,-0.26,-0.31,84.03,"March 08, 21",-0.0031
32,NVS,2021-03-05,83.360001,84.239998,82.290001,84.010002,84.010002,2019500.0,2019500.0,0.65,0.78,83.51333,"March 05, 21",0.0078
33,NVS,2021-03-04,84.610001,84.809998,82.639999,83.5,83.5,2038500.0,2038500.0,-1.11,-1.312,83.65,"March 04, 21",-0.01312
34,NVS,2021-03-03,88.0,88.209999,86.910004,87.559998,84.181999,1958400.0,1958400.0,-0.44,-0.5,87.56,"March 03, 21",-0.005
35,NVS,2021-03-02,88.080002,88.839996,88.07,88.169998,84.768463,2135600.0,2135600.0,0.09,0.102,88.36,"March 02, 21",0.00102
36,NVS,2021-03-01,86.550003,87.489998,86.510002,87.449997,84.076241,1639900.0,1639900.0,0.89999,1.04,87.15,"March 01, 21",0.0104
37,NVS,2021-02-26,87.139999,87.209999,85.629997,85.910004,82.595657,2230100.0,2230100.0,-1.23,-1.412,86.25,"February 26, 21",-0.01412
38,NVS,2021-02-25,87.540001,87.669998,86.550003,86.709999,83.364792,2113200.0,2113200.0,-0.83,-0.948,86.97667,"February 25, 21",-0.00948
39,NVS,2021-02-24,87.160004,87.730003,86.669998,87.43,84.057014,2571200.0,2571200.0,0.27,0.31,87.27667,"February 24, 21",0.0031
40,NVS,2021-02-23,86.889999,87.129997,86.440002,86.5,83.162895,2119200.0,2119200.0,-0.39,-0.449,86.69,"February 23, 21",-0.00449
41,NVS,2021-02-22,88.209999,88.470001,87.879997,87.910004,84.518501,1566000.0,1566000.0,-0.29999,-0.34,88.08667,"February 22, 21",-0.0034
42,NVS,2021-02-19,89.019997,89.07,88.360001,88.410004,84.999207,1810100.0,1810100.0,-0.60999,-0.685,88.61334,"February 19, 21",-0.00685
43,NVS,2021-02-18,89.580002,89.699997,89.059998,89.389999,85.941399,1789000.0,1789000.0,-0.19,-0.212,89.38333,"February 18, 21",-0.00212
44,NVS,2021-02-17,90.459999,90.730003,89.5,90.089996,86.614388,2253900.0,2253900.0,-0.37,-0.409,90.10667,"February 17, 21",-0.00409
45,NVS,2021-02-16,92.349998,92.360001,91.309998,91.459999,87.931541,1523100.0,1523100.0,-0.89,-0.964,91.71,"February 16, 21",-0.00964
46,NVS,2021-02-12,91.400002,92.330002,91.330002,92.029999,88.479546,1604100.0,1604100.0,0.63,0.689,91.89667,"February 12, 21",0.00689
47,NVS,2021-02-11,92.220001,92.25,91.589996,92.190002,88.633377,1823200.0,1823200.0,-0.03,-0.033,92.01,"February 11, 21",-0.00033
48,NVS,2021-02-10,92.0,92.32,91.260002,91.470001,87.941154,1807600.0,1807600.0,-0.53,-0.576,91.68333,"February 10, 21",-0.00576
49,NVS,2021-02-09,91.0,91.860001,90.879997,91.580002,88.046913,2548700.0,2548700.0,0.58,0.637,91.44,"February 09, 21",0.00637
50,NVS,2021-02-08,91.419998,91.489998,90.440002,91.0,87.489288,1957600.0,1957600.0,-0.42,-0.459,90.97667,"February 08, 21",-0.00459
51,NVS,2021-02-05,90.580002,90.800003,90.220001,90.529999,87.037415,1567100.0,1567100.0,-0.05,-0.055,90.51667,"February 05, 21",-0.00055
52,NVS,2021-02-04,90.339996,90.709999,89.809998,90.629997,87.13356,1986700.0,1986700.0,0.29,0.321,90.38333,"February 04, 21",0.00321
53,NVS,2021-02-03,89.349998,89.800003,89.010002,89.339996,85.893326,2479800.0,2479800.0,-0.01,-0.011,89.38333,"February 03, 21",-0.00011
54,NVS,2021-02-02,90.470001,90.480003,89.599998,89.620003,86.162529,1872600.0,1872600.0,-0.85,-0.94,89.9,"February 02, 21",-0.0094
55,NVS,2021-02-01,90.720001,90.739998,89.489998,89.760002,86.297127,2165000.0,2165000.0,-0.96,-1.058,89.99667,"February 01, 21",-0.01058
56,NVS,2021-01-29,91.25,91.639999,89.470001,90.470001,86.979736,3007400.0,3007400.0,-0.78,-0.855,90.52667,"January 29, 21",-0.00855
57,NVS,2021-01-28,93.82,94.519997,92.790001,92.839996,89.258293,1957900.0,1957900.0,-0.98,-1.045,93.38333,"January 28, 21",-0.01045
58,NVS,2021-01-27,94.760002,94.879997,92.860001,92.900002,89.315987,5090400.0,5090400.0,-1.86,-1.963,93.54667,"January 27, 21",-0.01963
59,NVS,2021-01-26,94.339996,95.940002,93.910004,95.940002,92.238708,4486000.0,4486000.0,1.60001,1.696,95.26334,"January 26, 21",0.01696
