,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,ONTO,2021-04-15,70.760002,71.300003,69.425003,71.059998,71.059998,157100.0,157100.0,0.3,0.424,70.595,"April 15, 21",0.00424
1,ONTO,2021-04-14,70.0,71.139999,69.629997,69.830002,69.830002,225100.0,225100.0,-0.17,-0.243,70.2,"April 14, 21",-0.00243
2,ONTO,2021-04-13,71.5,71.625,69.150002,69.989998,69.989998,404500.0,404500.0,-1.51,-2.112,70.255,"April 13, 21",-0.02112
3,ONTO,2021-04-12,70.169998,71.470001,69.224998,71.389999,71.389999,263300.0,263300.0,1.22,1.739,70.695,"April 12, 21",0.01739
4,ONTO,2021-04-09,71.120003,71.209999,69.910004,70.690002,70.690002,332900.0,332900.0,-0.43,-0.605,70.60334,"April 09, 21",-0.00605
5,ONTO,2021-04-08,72.110001,72.279999,70.940002,71.510002,71.510002,276100.0,276100.0,-0.6,-0.832,71.57667,"April 08, 21",-0.00832
6,ONTO,2021-04-07,71.370003,72.333,70.040001,71.040001,71.040001,159500.0,159500.0,-0.33,-0.462,71.13767,"April 07, 21",-0.00462
7,ONTO,2021-04-06,71.209999,72.550003,70.699997,71.550003,71.550003,187400.0,187400.0,0.34,0.477,71.6,"April 06, 21",0.00477
8,ONTO,2021-04-05,70.0,72.081001,70.0,71.620003,71.620003,435600.0,435600.0,1.62,2.314,71.23367,"April 05, 21",0.02314
9,ONTO,2021-04-01,67.470001,69.989998,67.0,69.919998,69.919998,360900.0,360900.0,2.45,3.631,68.97,"April 01, 21",0.03631
10,ONTO,2021-03-31,62.889999,66.470001,62.889999,65.709999,65.709999,462600.0,462600.0,2.82,4.484,65.02333,"March 31, 21",0.04484
11,ONTO,2021-03-30,60.369999,62.43,60.189999,62.27,62.27,302500.0,302500.0,1.9,3.147,61.63,"March 30, 21",0.03147
12,ONTO,2021-03-29,62.110001,63.07,59.970001,60.689999,60.689999,288800.0,288800.0,-1.42,-2.286,61.24333,"March 29, 21",-0.02286
13,ONTO,2021-03-26,59.220001,63.200001,58.529999,63.040001,63.040001,244100.0,244100.0,3.82,6.451,61.59,"March 26, 21",0.06451
14,ONTO,2021-03-25,59.849998,60.740002,58.130001,59.139999,59.139999,516300.0,516300.0,-0.71,-1.186,59.33667,"March 25, 21",-0.01186
15,ONTO,2021-03-24,60.18,62.27,60.18,61.369999,61.369999,583300.0,583300.0,1.19,1.977,61.27333,"March 24, 21",0.01977
16,ONTO,2021-03-23,60.939999,61.639999,58.080002,58.799999,58.799999,490200.0,490200.0,-2.14,-3.512,59.50667,"March 23, 21",-0.03512
17,ONTO,2021-03-22,60.650002,62.759998,60.41,61.689999,61.689999,502000.0,502000.0,1.04,1.715,61.62,"March 22, 21",0.01715
18,ONTO,2021-03-19,60.66,61.630001,59.830002,60.220001,60.220001,852400.0,852400.0,-0.44,-0.725,60.56,"March 19, 21",-0.00725
19,ONTO,2021-03-18,65.389999,65.769997,60.220001,60.330002,60.330002,571400.0,571400.0,-5.06,-7.738,62.10667,"March 18, 21",-0.07738
20,ONTO,2021-03-17,65.510002,67.57,63.740002,66.480003,66.480003,521700.0,521700.0,0.97,1.481,65.93,"March 17, 21",0.01481
21,ONTO,2021-03-16,65.589996,67.769997,64.449997,66.120003,66.120003,427600.0,427600.0,0.53001,0.808,66.11333,"March 16, 21",0.00808
22,ONTO,2021-03-15,63.470001,65.809998,63.470001,64.940002,64.940002,403000.0,403000.0,1.47,2.316,64.74,"March 15, 21",0.02316
23,ONTO,2021-03-12,63.299999,65.349998,61.740002,63.970001,63.970001,401300.0,401300.0,0.67,1.058,63.68667,"March 12, 21",0.01058
24,ONTO,2021-03-11,61.330002,64.439003,61.119999,64.110001,64.110001,363000.0,363000.0,2.78,4.533,63.223,"March 11, 21",0.04533
25,ONTO,2021-03-10,61.0,62.09,59.900002,60.5,60.5,292100.0,292100.0,-0.5,-0.82,60.83,"March 10, 21",-0.0082
26,ONTO,2021-03-09,57.43,61.66,57.349998,60.509998,60.509998,344000.0,344000.0,3.08,5.363,59.84,"March 09, 21",0.05363
27,ONTO,2021-03-08,56.16,57.0,54.735001,55.700001,55.700001,743800.0,743800.0,-0.46,-0.819,55.81167,"March 08, 21",-0.00819
28,ONTO,2021-03-05,59.490002,59.490002,52.165001,56.0,56.0,807100.0,807100.0,-3.49,-5.867,55.885,"March 05, 21",-0.05867
29,ONTO,2021-03-04,62.939999,63.5,57.43,57.990002,57.990002,550900.0,550900.0,-4.95,-7.865,59.64,"March 04, 21",-0.07865
30,ONTO,2021-03-03,64.459999,65.190002,62.419998,63.57,63.57,281800.0,281800.0,-0.89,-1.381,63.72667,"March 03, 21",-0.01381
31,ONTO,2021-03-02,65.75,65.970001,63.91,64.040001,64.040001,399100.0,399100.0,-1.71,-2.601,64.64,"March 02, 21",-0.02601
32,ONTO,2021-03-01,63.639999,66.169998,62.939999,66.089996,66.089996,316100.0,316100.0,2.45,3.85,65.06666,"March 01, 21",0.0385
