,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,PENN,2021-04-21,88.61,92.59,87.42,92.51,92.51,4999656.0,4999656.0,3.9,4.401,90.84,"April 21, 21",0.04401
1,PENN,2021-04-20,90.83,93.35,85.94,89.0,89.0,8921401.0,8921401.0,-1.83,-2.015,89.43,"April 20, 21",-0.02015
2,PENN,2021-04-19,99.49,99.71,92.57,93.0,93.0,5564865.0,5564865.0,-6.49,-6.523,95.09333,"April 19, 21",-0.06523
3,PENN,2021-04-16,99.73,102.32,99.72,99.94,99.94,2739116.0,2739116.0,0.21,0.211,100.66,"April 16, 21",0.00211
4,PENN,2021-04-15,102.0,102.0,98.75,100.72,100.72,2840161.0,2840161.0,-1.28,-1.255,100.49,"April 15, 21",-0.01255
5,PENN,2021-04-14,102.120003,104.910004,99.800003,100.589996,100.589996,2690400.0,2690400.0,-1.53001,-1.498,101.76667,"April 14, 21",-0.01498
6,PENN,2021-04-13,101.260002,102.830002,97.809998,102.559998,102.559998,3331600.0,3331600.0,1.3,1.284,101.06667,"April 13, 21",0.01284
7,PENN,2021-04-12,103.769997,104.120003,99.07,101.82,101.82,4060700.0,4060700.0,-1.95,-1.879,101.67,"April 12, 21",-0.01879
8,PENN,2021-04-09,105.699997,106.220001,102.110001,104.120003,104.120003,2962100.0,2962100.0,-1.57999,-1.495,104.15,"April 09, 21",-0.01495
9,PENN,2021-04-08,102.910004,106.769997,101.550003,106.690002,106.690002,3297700.0,3297700.0,3.78,3.673,105.00333,"April 08, 21",0.03673
10,PENN,2021-04-07,103.879997,105.709999,102.269997,102.370003,102.370003,3963700.0,3963700.0,-1.50999,-1.454,103.45,"April 07, 21",-0.01454
11,PENN,2021-04-06,106.75,109.330002,100.019997,104.089996,104.089996,14137700.0,14137700.0,-2.66,-2.492,104.48,"April 06, 21",-0.02492
12,PENN,2021-04-05,110.169998,110.169998,105.519997,106.839996,106.839996,3044700.0,3044700.0,-3.33,-3.023,107.51,"April 05, 21",-0.03023
13,PENN,2021-04-01,106.779999,108.970001,105.300003,107.519997,107.519997,3177600.0,3177600.0,0.74,0.693,107.26333,"April 01, 21",0.00693
14,PENN,2021-03-31,105.540001,106.129997,102.150002,104.839996,104.839996,3043000.0,3043000.0,-0.70001,-0.663,104.37333,"March 31, 21",-0.00663
15,PENN,2021-03-30,97.830002,103.459999,96.860001,102.839996,102.839996,4511400.0,4511400.0,5.00999,5.121,101.05333,"March 30, 21",0.05121
16,PENN,2021-03-29,105.25,106.730003,96.769997,98.209999,98.209999,6717200.0,6717200.0,-7.04,-6.689,100.57,"March 29, 21",-0.06689
17,PENN,2021-03-26,109.629997,110.239998,101.910004,106.580002,106.580002,3527500.0,3527500.0,-3.05,-2.782,106.24333,"March 26, 21",-0.02782
18,PENN,2021-03-25,99.5,109.07,98.5,108.75,108.75,5109700.0,5109700.0,9.25,9.296,105.44,"March 25, 21",0.09296
19,PENN,2021-03-24,113.25,114.379997,103.339996,104.059998,104.059998,5476500.0,5476500.0,-9.19,-8.115,107.26,"March 24, 21",-0.08115
20,PENN,2021-03-23,114.900002,117.0,110.160004,111.82,111.82,5429900.0,5429900.0,-3.08,-2.681,112.99333,"March 23, 21",-0.02681
21,PENN,2021-03-22,118.669998,118.669998,111.400002,113.160004,113.160004,7007000.0,7007000.0,-5.50999,-4.643,114.41,"March 22, 21",-0.04643
22,PENN,2021-03-19,114.309998,119.970001,112.489998,117.370003,117.370003,30486900.0,30486900.0,3.06001,2.677,116.61,"March 19, 21",0.02677
23,PENN,2021-03-18,121.550003,122.169998,111.589996,111.940002,111.940002,8477200.0,8477200.0,-9.61,-7.906,115.23333,"March 18, 21",-0.07906
24,PENN,2021-03-17,122.279999,125.480003,117.18,124.529999,124.529999,8077600.0,8077600.0,2.25,1.84,122.39667,"March 17, 21",0.0184
25,PENN,2021-03-16,137.070007,137.130005,123.129997,124.5,124.5,7443400.0,7443400.0,-12.57001,-9.171,128.25333,"March 16, 21",-0.09171
26,PENN,2021-03-15,138.809998,142.0,132.850006,136.470001,136.470001,7891100.0,7891100.0,-2.34,-1.686,137.10667,"March 15, 21",-0.01686
