,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,PLTR,2021-04-22,22.94,23.51,22.51,22.86,22.86,51481930.0,51481930.0,-0.08,-0.349,22.96,"April 22, 21",-0.00349
1,PLTR,2021-04-21,21.65,22.64,21.43,22.63,22.63,42901015.0,42901015.0,0.98,4.527,22.23333,"April 21, 21",0.04527
2,PLTR,2021-04-20,21.96,22.55,21.24,21.78,21.78,47209307.0,47209307.0,-0.18,-0.82,21.85667,"April 20, 21",-0.0082
3,PLTR,2021-04-19,22.15,22.33,21.53,21.94,21.94,45890500.0,45890500.0,-0.21,-0.948,21.93333,"April 19, 21",-0.00948
4,PLTR,2021-04-16,22.86,23.26,22.3,22.47,22.47,46898649.0,46898649.0,-0.39,-1.706,22.67667,"April 16, 21",-0.01706
5,PLTR,2021-04-15,24.01,24.06,22.69,23.15,23.15,59367493.0,59367493.0,-0.86,-3.582,23.3,"April 15, 21",-0.03582
6,PLTR,2021-04-14,25.35,26.200001,23.65,23.700001,23.700001,108793800.0,108793800.0,-1.65,-6.509,24.51667,"April 14, 21",-0.06509
7,PLTR,2021-04-13,23.190001,25.659,23.120001,25.42,25.42,83913500.0,83913500.0,2.23,9.616,24.733,"April 13, 21",0.09616
8,PLTR,2021-04-12,24.52,24.549999,22.73,23.34,23.34,68620800.0,68620800.0,-1.18,-4.812,23.54,"April 12, 21",-0.04812
9,PLTR,2021-04-09,23.459999,24.35,23.370001,24.040001,24.040001,54082700.0,54082700.0,0.58,2.472,23.92,"April 09, 21",0.02472
10,PLTR,2021-04-08,23.200001,23.6,22.74,23.41,23.41,35905500.0,35905500.0,0.21,0.905,23.25,"April 08, 21",0.00905
11,PLTR,2021-04-07,23.0,23.549999,22.809999,22.9,22.9,32766200.0,32766200.0,-0.1,-0.435,23.08667,"April 07, 21",-0.00435
12,PLTR,2021-04-06,23.549999,23.610001,22.83,23.27,23.27,41933500.0,41933500.0,-0.28,-1.189,23.23667,"April 06, 21",-0.01189
13,PLTR,2021-04-05,23.780001,24.450001,23.34,23.440001,23.440001,65374300.0,65374300.0,-0.34,-1.43,23.74333,"April 05, 21",-0.0143
14,PLTR,2021-04-01,23.950001,23.950001,22.73,23.07,23.07,51788800.0,51788800.0,-0.88,-3.674,23.25,"April 01, 21",-0.03674
15,PLTR,2021-03-31,22.5,23.85,22.379999,23.290001,23.290001,61458500.0,61458500.0,0.79,3.511,23.17333,"March 31, 21",0.03511
16,PLTR,2021-03-30,21.360001,22.09,20.860001,22.040001,22.040001,52039700.0,52039700.0,0.68,3.184,21.66333,"March 30, 21",0.03184
17,PLTR,2021-03-29,22.48,22.5,21.389999,21.73,21.73,57647400.0,57647400.0,-0.75,-3.336,21.87333,"March 29, 21",-0.03336
18,PLTR,2021-03-26,22.629999,23.049999,21.76,22.58,22.58,57689500.0,57689500.0,-0.05,-0.221,22.46333,"March 26, 21",-0.00221
19,PLTR,2021-03-25,21.200001,22.799999,21.049999,22.58,22.58,74592600.0,74592600.0,1.38,6.509,22.14333,"March 25, 21",0.06509
20,PLTR,2021-03-24,23.299999,23.485001,21.75,21.879999,21.879999,69271900.0,69271900.0,-1.42,-6.094,22.37167,"March 24, 21",-0.06094
21,PLTR,2021-03-23,24.0,24.105,23.1,23.26,23.26,50169700.0,50169700.0,-0.74,-3.083,23.48833,"March 23, 21",-0.03083
22,PLTR,2021-03-22,24.889999,24.92,23.860001,24.219999,24.219999,46208100.0,46208100.0,-0.67,-2.692,24.33333,"March 22, 21",-0.02692
23,PLTR,2021-03-19,24.01,24.57,23.389999,24.32,24.32,57611900.0,57611900.0,0.31,1.291,24.09333,"March 19, 21",0.01291
24,PLTR,2021-03-18,24.73,25.18,23.780001,23.98,23.98,57141400.0,57141400.0,-0.75,-3.033,24.31333,"March 18, 21",-0.03033
25,PLTR,2021-03-17,24.52,25.73,24.299999,25.209999,25.209999,76465400.0,76465400.0,0.69,2.814,25.08,"March 17, 21",0.02814
26,PLTR,2021-03-16,26.75,27.1,25.23,25.610001,25.610001,72869300.0,72869300.0,-1.14,-4.262,25.98,"March 16, 21",-0.04262
27,PLTR,2021-03-15,27.35,27.469999,26.309999,26.790001,26.790001,56101500.0,56101500.0,-0.56,-2.048,26.85667,"March 15, 21",-0.02048
28,PLTR,2021-03-12,25.74,26.92,25.18,26.92,26.92,58489200.0,58489200.0,1.18,4.584,26.34,"March 12, 21",0.04584
29,PLTR,2021-03-11,25.950001,26.84,25.58,26.73,26.73,84337000.0,84337000.0,0.78,3.006,26.38333,"March 11, 21",0.03006
30,PLTR,2021-03-10,25.030001,26.24,24.27,24.75,24.75,102847800.0,102847800.0,-0.28,-1.119,25.08667,"March 10, 21",-0.01119
31,PLTR,2021-03-09,23.379999,24.74,23.1,24.26,24.26,99106800.0,99106800.0,0.88,3.764,24.03333,"March 09, 21",0.03764
32,PLTR,2021-03-08,23.77,24.58,22.4,22.52,22.52,93973900.0,93973900.0,-1.25,-5.259,23.16667,"March 08, 21",-0.05259
33,PLTR,2021-03-05,24.360001,24.68,20.18,23.950001,23.950001,172875900.0,172875900.0,-0.41,-1.683,22.93667,"March 05, 21",-0.01683
34,PLTR,2021-03-04,24.85,25.559999,23.049999,24.73,24.73,160436400.0,160436400.0,-0.12,-0.483,24.44667,"March 04, 21",-0.00483
35,PLTR,2021-03-03,24.99,25.167999,23.43,23.59,23.59,76548900.0,76548900.0,-1.4,-5.602,24.06267,"March 03, 21",-0.05602
36,PLTR,2021-03-02,25.0,25.59,24.26,24.48,24.48,73539700.0,73539700.0,-0.52,-2.08,24.77667,"March 02, 21",-0.0208
37,PLTR,2021-03-01,25.190001,25.9,24.620001,24.809999,24.809999,84352800.0,84352800.0,-0.38,-1.509,25.11,"March 01, 21",-0.01509
38,PLTR,2021-02-26,24.200001,24.5,22.700001,23.9,23.9,119588600.0,119588600.0,-0.3,-1.24,23.7,"February 26, 21",-0.0124
39,PLTR,2021-02-25,25.82,26.440001,23.15,23.959999,23.959999,161776400.0,161776400.0,-1.86,-7.204,24.51667,"February 25, 21",-0.07204
40,PLTR,2021-02-24,26.709999,27.23,25.75,26.389999,26.389999,90095700.0,90095700.0,-0.32,-1.198,26.45667,"February 24, 21",-0.01198
41,PLTR,2021-02-23,25.959999,27.459999,23.9,26.75,26.75,145289400.0,145289400.0,0.79,3.043,26.03667,"February 23, 21",0.03043
42,PLTR,2021-02-22,29.959999,30.190001,27.535999,28.0,28.0,183049500.0,183049500.0,-1.96,-6.542,28.57533,"February 22, 21",-0.06542
43,PLTR,2021-02-19,27.02,29.959999,26.9,29.0,29.0,320063700.0,320063700.0,1.98,7.328,28.62,"February 19, 21",0.07328
44,PLTR,2021-02-18,24.99,26.309999,24.5,25.17,25.17,313175100.0,313175100.0,0.18,0.72,25.32667,"February 18, 21",0.0072
45,PLTR,2021-02-17,27.99,29.73,27.0,27.08,27.08,151007000.0,151007000.0,-0.91,-3.251,27.93667,"February 17, 21",-0.03251
46,PLTR,2021-02-16,30.02,30.440001,27.299999,27.84,27.84,180294300.0,180294300.0,-2.18,-7.262,28.52667,"February 16, 21",-0.07262
47,PLTR,2021-02-12,33.360001,33.650002,31.34,31.91,31.91,60359100.0,60359100.0,-1.45,-4.347,32.3,"February 12, 21",-0.04347
48,PLTR,2021-02-11,35.790001,35.98,32.610001,33.110001,33.110001,51863200.0,51863200.0,-2.68,-7.488,33.9,"February 11, 21",-0.07488
49,PLTR,2021-02-10,38.150002,38.240002,35.0,35.700001,35.700001,45177200.0,45177200.0,-2.45,-6.422,36.31333,"February 10, 21",-0.06422
50,PLTR,2021-02-09,36.900002,38.255001,36.130001,38.169998,38.169998,44243200.0,44243200.0,1.27,3.442,37.51833,"February 09, 21",0.03442
51,PLTR,2021-02-08,37.220001,39.220001,35.889999,36.049999,36.049999,72376000.0,72376000.0,-1.17,-3.143,37.05333,"February 08, 21",-0.03143
52,PLTR,2021-02-05,32.610001,35.200001,31.75,34.049999,34.049999,62230800.0,62230800.0,1.44,4.416,33.66667,"February 05, 21",0.04416
53,PLTR,2021-02-04,32.580002,33.18,31.049999,32.049999,32.049999,31565000.0,31565000.0,-0.53,-1.627,32.09333,"February 04, 21",-0.01627
54,PLTR,2021-02-03,32.389999,32.950001,31.379999,31.76,31.76,35312000.0,35312000.0,-0.63,-1.945,32.03,"February 03, 21",-0.01945
55,PLTR,2021-02-02,34.099998,34.200001,30.5,31.02,31.02,69647900.0,69647900.0,-3.08,-9.032,31.90667,"February 02, 21",-0.09032
56,PLTR,2021-02-01,35.330002,35.619999,32.580002,33.959999,33.959999,43460900.0,43460900.0,-1.37,-3.878,34.05333,"February 01, 21",-0.03878
57,PLTR,2021-01-29,36.610001,38.009998,34.66,35.18,35.18,42030900.0,42030900.0,-1.43,-3.906,35.95,"January 29, 21",-0.03906
58,PLTR,2021-01-28,39.540001,42.0,33.099998,35.66,35.66,85250700.0,85250700.0,-3.88,-9.813,36.92,"January 28, 21",-0.09813
59,PLTR,2021-01-27,32.970001,45.0,32.25,39.0,39.0,170758800.0,170758800.0,6.03,18.289,38.75,"January 27, 21",0.18289
60,PLTR,2021-01-26,35.139999,36.869999,34.32,35.369999,35.369999,65870000.0,65870000.0,0.23,0.655,35.52,"January 26, 21",0.00655
61,PLTR,2021-01-25,34.459999,39.580002,29.559999,36.23,36.23,191345300.0,191345300.0,1.77,5.136,35.12333,"January 25, 21",0.05136
62,PLTR,2021-01-22,25.85,32.650002,25.82,32.580002,32.580002,156844700.0,156844700.0,6.73,26.035,30.35,"January 22, 21",0.26035
