,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,PWOD,2021-04-21,23.13,23.7,23.01,23.65,23.65,15673.0,15673.0,0.52,2.248,23.45333,"April 21, 21",0.02248
1,PWOD,2021-04-20,23.55,23.83,22.99,23.05,23.05,20261.0,20261.0,-0.5,-2.123,23.29,"April 20, 21",-0.02123
2,PWOD,2021-04-19,23.56,23.79,23.0,23.57,23.57,22545.0,22545.0,0.01,0.042,23.45333,"April 19, 21",0.00042
3,PWOD,2021-04-16,24.02,24.11,23.42,23.42,23.42,34640.0,34640.0,-0.6,-2.498,23.65,"April 16, 21",-0.02498
4,PWOD,2021-04-15,23.75,23.94,23.6,23.89,23.89,13596.0,13596.0,0.14,0.589,23.81,"April 15, 21",0.00589
5,PWOD,2021-04-14,23.809999,24.24,23.75,23.77,23.77,17800.0,17800.0,-0.04,-0.168,23.92,"April 14, 21",-0.00168
6,PWOD,2021-04-13,23.860001,24.290001,23.84,23.92,23.92,17600.0,17600.0,0.06,0.251,24.01667,"April 13, 21",0.00251
7,PWOD,2021-04-12,24.23,24.43,23.85,23.85,23.85,15700.0,15700.0,-0.38,-1.568,24.04333,"April 12, 21",-0.01568
8,PWOD,2021-04-09,24.4,25.02,24.1,24.23,24.23,16600.0,16600.0,-0.17,-0.697,24.45,"April 09, 21",-0.00697
9,PWOD,2021-04-08,24.5,24.5,24.030001,24.41,24.41,7000.0,7000.0,-0.09,-0.367,24.31333,"April 08, 21",-0.00367
10,PWOD,2021-04-07,24.950001,25.0,24.200001,24.35,24.35,19500.0,19500.0,-0.6,-2.405,24.51667,"April 07, 21",-0.02405
11,PWOD,2021-04-06,24.9,25.51,24.870001,25.07,25.07,17600.0,17600.0,0.17,0.683,25.15,"April 06, 21",0.00683
12,PWOD,2021-04-05,24.67,25.200001,24.209999,24.85,24.85,29400.0,29400.0,0.18,0.73,24.75333,"April 05, 21",0.0073
13,PWOD,2021-04-01,24.43,24.58,24.25,24.549999,24.549999,11500.0,11500.0,0.12,0.491,24.46,"April 01, 21",0.00491
14,PWOD,2021-03-31,25.5,25.85,24.030001,24.09,24.09,37900.0,37900.0,-1.41,-5.529,24.65667,"March 31, 21",-0.05529
15,PWOD,2021-03-30,24.209999,25.5,24.059999,25.379999,25.379999,29600.0,29600.0,1.17,4.833,24.98,"March 30, 21",0.04833
16,PWOD,2021-03-29,24.360001,25.5,23.83,24.219999,24.219999,14700.0,14700.0,-0.14,-0.575,24.51667,"March 29, 21",-0.00575
17,PWOD,2021-03-26,24.74,25.030001,24.110001,24.58,24.58,10000.0,10000.0,-0.16,-0.647,24.57333,"March 26, 21",-0.00647
18,PWOD,2021-03-25,24.01,24.530001,23.6,24.52,24.52,13000.0,13000.0,0.51,2.124,24.21667,"March 25, 21",0.02124
19,PWOD,2021-03-24,24.48,25.9,23.799999,23.799999,23.799999,27600.0,27600.0,-0.68,-2.778,24.5,"March 24, 21",-0.02778
20,PWOD,2021-03-23,23.950001,24.92,23.6,24.1,24.1,31400.0,31400.0,0.15,0.626,24.20667,"March 23, 21",0.00626
21,PWOD,2021-03-22,24.700001,24.870001,23.82,23.82,23.82,19400.0,19400.0,-0.88,-3.563,24.17,"March 22, 21",-0.03563
22,PWOD,2021-03-19,25.290001,25.879999,24.59,24.67,24.67,57200.0,57200.0,-0.62,-2.452,25.04667,"March 19, 21",-0.02452
23,PWOD,2021-03-18,25.540001,26.01,25.0,25.0,25.0,34900.0,34900.0,-0.54,-2.114,25.33667,"March 18, 21",-0.02114
24,PWOD,2021-03-17,25.0,26.120001,24.559999,24.68,24.68,14200.0,14200.0,-0.32,-1.28,25.12,"March 17, 21",-0.0128
25,PWOD,2021-03-16,26.16,26.16,24.85,24.98,24.98,12800.0,12800.0,-1.18,-4.511,25.33,"March 16, 21",-0.04511
26,PWOD,2021-03-15,27.209999,27.209999,26.190001,26.35,26.35,11100.0,11100.0,-0.86,-3.161,26.58333,"March 15, 21",-0.03161
27,PWOD,2021-03-12,27.74,27.74,27.0,27.15,27.15,11800.0,11800.0,-0.59,-2.127,27.29667,"March 12, 21",-0.02127
28,PWOD,2021-03-11,27.610001,27.75,27.09,27.75,27.75,10300.0,10300.0,0.14,0.507,27.53,"March 11, 21",0.00507
29,PWOD,2021-03-10,27.639999,28.129999,27.23,27.73,27.73,13100.0,13100.0,0.09,0.326,27.69667,"March 10, 21",0.00326
30,PWOD,2021-03-09,27.67,28.049999,27.26,27.700001,27.700001,16600.0,16600.0,0.03,0.108,27.67,"March 09, 21",0.00108
31,PWOD,2021-03-08,26.809999,28.190001,26.129999,27.780001,27.780001,19400.0,19400.0,0.97,3.618,27.36667,"March 08, 21",0.03618
32,PWOD,2021-03-05,26.120001,27.690001,26.120001,27.620001,27.299999,20100.0,20100.0,1.5,5.743,27.14333,"March 05, 21",0.05743
33,PWOD,2021-03-04,25.75,26.629999,25.620001,26.17,25.866798,34600.0,34600.0,0.42,1.631,26.14,"March 04, 21",0.01631
34,PWOD,2021-03-03,24.719999,25.889999,24.719999,25.6,25.303404,26300.0,26300.0,0.88,3.56,25.40333,"March 03, 21",0.0356
35,PWOD,2021-03-02,24.219999,24.84,24.219999,24.42,24.137074,11300.0,11300.0,0.2,0.826,24.49333,"March 02, 21",0.00826
36,PWOD,2021-03-01,24.34,24.450001,24.139999,24.450001,24.166727,12000.0,12000.0,0.11,0.452,24.34667,"March 01, 21",0.00452
37,PWOD,2021-02-26,24.57,24.75,23.66,23.83,23.553909,16800.0,16800.0,-0.74,-3.012,24.08,"February 26, 21",-0.03012
