,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,RKT,2021-04-16,22.549999,22.67,22.0,22.120001,22.120001,6402917.0,6402917.0,-0.43,-1.907,22.26333,"April 16, 21",-0.01907
1,RKT,2021-04-15,22.5,23.09,22.110001,22.76,22.76,11413500.0,11413500.0,0.26,1.156,22.65333,"April 15, 21",0.01156
2,RKT,2021-04-14,22.780001,23.299999,22.07,22.25,22.25,7353100.0,7353100.0,-0.53,-2.327,22.54,"April 14, 21",-0.02327
3,RKT,2021-04-13,22.049999,23.09,22.040001,22.98,22.98,8521100.0,8521100.0,0.93,4.218,22.70333,"April 13, 21",0.04218
4,RKT,2021-04-12,22.75,22.780001,21.940001,22.17,22.17,8012300.0,8012300.0,-0.58,-2.549,22.29667,"April 12, 21",-0.02549
5,RKT,2021-04-09,22.57,22.879999,22.360001,22.75,22.75,4592800.0,4592800.0,0.18,0.798,22.66333,"April 09, 21",0.00798
6,RKT,2021-04-08,22.6,22.889999,22.16,22.57,22.57,6159100.0,6159100.0,-0.03,-0.133,22.54,"April 08, 21",-0.00133
7,RKT,2021-04-07,22.700001,23.066,22.299999,22.58,22.58,6649100.0,6649100.0,-0.12,-0.529,22.64867,"April 07, 21",-0.00529
8,RKT,2021-04-06,22.360001,23.43,21.889999,22.65,22.65,14545900.0,14545900.0,0.29,1.297,22.65667,"April 06, 21",0.01297
9,RKT,2021-04-05,22.76,23.01,22.4,22.440001,22.440001,6856400.0,6856400.0,-0.32,-1.406,22.61667,"April 05, 21",-0.01406
10,RKT,2021-04-01,23.299999,23.4,22.540001,22.549999,22.549999,9795200.0,9795200.0,-0.75,-3.219,22.83,"April 01, 21",-0.03219
11,RKT,2021-03-31,23.32,23.57,22.75,23.09,23.09,11232900.0,11232900.0,-0.23,-0.986,23.13667,"March 31, 21",-0.00986
12,RKT,2021-03-30,24.049999,24.535,23.17,23.200001,23.200001,12725500.0,12725500.0,-0.85,-3.534,23.635,"March 30, 21",-0.03534
13,RKT,2021-03-29,24.25,27.440001,22.809999,23.799999,23.799999,56445500.0,56445500.0,-0.45,-1.856,24.68333,"March 29, 21",-0.01856
14,RKT,2021-03-26,22.299999,24.129999,22.09,23.91,23.91,11509600.0,11509600.0,1.61,7.22,23.37667,"March 26, 21",0.0722
15,RKT,2021-03-25,21.98,22.549999,21.700001,22.469999,22.469999,7982100.0,7982100.0,0.49,2.229,22.24,"March 25, 21",0.02229
16,RKT,2021-03-24,23.32,23.57,22.48,22.52,22.52,9191200.0,9191200.0,-0.8,-3.431,22.85667,"March 24, 21",-0.03431
17,RKT,2021-03-23,23.33,24.690001,22.959999,23.040001,23.040001,18177400.0,18177400.0,-0.29,-1.243,23.56333,"March 23, 21",-0.01243
18,RKT,2021-03-22,23.24,23.459999,22.84,22.99,22.99,7821900.0,7821900.0,-0.25,-1.076,23.09667,"March 22, 21",-0.01076
19,RKT,2021-03-19,23.24,23.639999,22.73,23.07,23.07,12002400.0,12002400.0,-0.17,-0.731,23.14667,"March 19, 21",-0.00731
20,RKT,2021-03-18,24.299999,24.6,23.059999,23.1,23.1,12835000.0,12835000.0,-1.2,-4.938,23.58667,"March 18, 21",-0.04938
21,RKT,2021-03-17,24.82,25.129999,24.15,24.5,24.5,11387700.0,11387700.0,-0.32,-1.289,24.59333,"March 17, 21",-0.01289
22,RKT,2021-03-16,26.110001,26.93,24.93,25.0,25.0,15974600.0,15974600.0,-1.11,-4.251,25.62,"March 16, 21",-0.04251
23,RKT,2021-03-15,25.65,26.66,25.120001,25.799999,25.799999,13113600.0,13113600.0,0.15,0.585,25.86,"March 15, 21",0.00585
24,RKT,2021-03-12,25.530001,25.790001,24.799999,25.01,25.01,10684300.0,10684300.0,-0.52,-2.037,25.2,"March 12, 21",-0.02037
25,RKT,2021-03-11,26.32,27.84,25.66,25.83,25.83,17031500.0,17031500.0,-0.49,-1.862,26.44333,"March 11, 21",-0.01862
26,RKT,2021-03-10,25.4,28.68,25.02,25.950001,25.950001,42711300.0,42711300.0,0.55,2.165,26.55,"March 10, 21",0.02165
27,RKT,2021-03-09,25.0,27.389999,23.93,25.49,25.49,31840600.0,31840600.0,0.49,1.96,25.60333,"March 09, 21",0.0196
28,RKT,2021-03-08,24.870001,27.76,23.85,24.709999,24.709999,28795700.0,28795700.0,-0.16,-0.643,25.44,"March 08, 21",-0.00643
29,RKT,2021-03-05,27.74,27.85,23.48,25.1,23.99,34964300.0,34964300.0,-2.64,-9.517,25.47667,"March 05, 21",-0.09517
30,RKT,2021-03-04,28.0,30.940001,25.379999,26.860001,25.672167,67078700.0,67078700.0,-1.14,-4.071,27.72667,"March 04, 21",-0.04071
31,RKT,2021-03-03,37.110001,39.470001,27.559999,28.01,26.771311,177151300.0,177151300.0,-9.1,-24.522,31.68,"March 03, 21",-0.24522
32,RKT,2021-03-02,27.34,43.0,26.75,41.599998,39.760315,372066400.0,372066400.0,14.26,52.158,37.11667,"March 02, 21",0.52158
33,RKT,2021-03-01,23.0,24.5,22.521,24.299999,23.225378,34204100.0,34204100.0,1.3,5.652,23.77367,"March 01, 21",0.05652
34,RKT,2021-02-26,23.33,23.559999,21.58,21.85,20.883724,50331300.0,50331300.0,-1.48,-6.344,22.33,"February 26, 21",-0.06344
35,RKT,2021-02-25,20.35,20.982,19.709999,19.9,19.019958,15216700.0,15216700.0,-0.45,-2.211,20.19733,"February 25, 21",-0.02211
36,RKT,2021-02-24,19.76,20.389999,19.469999,20.32,19.421385,8657900.0,8657900.0,0.56,2.834,20.06,"February 24, 21",0.02834
37,RKT,2021-02-23,20.030001,20.08,18.700001,20.0,19.115538,9944800.0,9944800.0,-0.03,-0.15,19.59333,"February 23, 21",-0.0015
38,RKT,2021-02-22,20.290001,20.815001,20.129999,20.41,19.507406,8555400.0,8555400.0,0.12,0.591,20.45167,"February 22, 21",0.00591
39,RKT,2021-02-19,20.290001,20.540001,20.08,20.27,19.373598,5705500.0,5705500.0,-0.02,-0.099,20.29667,"February 19, 21",-0.00099
40,RKT,2021-02-18,20.1,20.43,19.700001,20.07,19.182442,8815600.0,8815600.0,-0.03,-0.149,20.06667,"February 18, 21",-0.00149
41,RKT,2021-02-17,20.549999,20.843,20.040001,20.049999,19.163326,12756200.0,12756200.0,-0.5,-2.433,20.311,"February 17, 21",-0.02433
42,RKT,2021-02-16,20.9,21.129999,20.41,20.57,19.66033,7779300.0,7779300.0,-0.33,-1.579,20.70333,"February 16, 21",-0.01579
43,RKT,2021-02-12,20.77,20.99,20.469999,20.68,19.765467,7514900.0,7514900.0,-0.09,-0.433,20.71333,"February 12, 21",-0.00433
44,RKT,2021-02-11,21.01,21.469999,20.549999,20.67,19.755907,7581200.0,7581200.0,-0.34,-1.618,20.89667,"February 11, 21",-0.01618
45,RKT,2021-02-10,21.280001,21.377001,20.610001,20.940001,20.013968,7657900.0,7657900.0,-0.34,-1.598,20.97567,"February 10, 21",-0.01598
46,RKT,2021-02-09,21.549999,21.84,21.23,21.25,20.310259,9648600.0,9648600.0,-0.3,-1.392,21.44,"February 09, 21",-0.01392
47,RKT,2021-02-08,21.940001,21.99,21.42,21.620001,20.663897,8350400.0,8350400.0,-0.32,-1.459,21.67667,"February 08, 21",-0.01459
48,RKT,2021-02-05,21.5,21.749001,21.25,21.629999,20.673452,7258300.0,7258300.0,0.13,0.605,21.543,"February 05, 21",0.00605
49,RKT,2021-02-04,21.610001,22.4,21.450001,21.57,20.616106,11477200.0,11477200.0,-0.04,-0.185,21.80667,"February 04, 21",-0.00185
