,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,SGFY,2021-04-15,26.389999,27.02,26.299999,26.99,26.99,211500.0,211500.0,0.6,2.274,26.77,"April 15, 21",0.02274
1,SGFY,2021-04-14,26.1,27.18,26.1,26.26,26.26,193300.0,193300.0,0.16,0.613,26.51333,"April 14, 21",0.00613
2,SGFY,2021-04-13,25.0,26.33,24.84,26.1,26.1,354800.0,354800.0,1.1,4.4,25.75667,"April 13, 21",0.044
3,SGFY,2021-04-12,26.110001,26.202999,24.52,24.809999,24.809999,181500.0,181500.0,-1.3,-4.979,25.17767,"April 12, 21",-0.04979
4,SGFY,2021-04-09,27.290001,27.389999,26.030001,26.24,26.24,176200.0,176200.0,-1.05,-3.848,26.55333,"April 09, 21",-0.03848
5,SGFY,2021-04-08,26.889999,27.49,26.34,26.889999,26.889999,262900.0,262900.0,0.0,0.0,26.90667,"April 08, 21",0.0
6,SGFY,2021-04-07,27.48,28.120001,25.934999,26.35,26.35,464200.0,464200.0,-1.13,-4.112,26.80167,"April 07, 21",-0.04112
7,SGFY,2021-04-06,29.68,29.82,27.25,27.469999,27.469999,366600.0,366600.0,-2.21,-7.446,28.18,"April 06, 21",-0.07446
8,SGFY,2021-04-05,30.0,30.0,28.209999,29.120001,29.120001,374200.0,374200.0,-0.88,-2.933,29.11,"April 05, 21",-0.02933
9,SGFY,2021-04-01,29.65,30.639999,29.049999,29.879999,29.879999,519100.0,519100.0,0.23,0.776,29.85667,"April 01, 21",0.00776
10,SGFY,2021-03-31,27.549999,29.450001,27.0,29.26,29.26,637800.0,637800.0,1.71,6.207,28.57,"March 31, 21",0.06207
11,SGFY,2021-03-30,26.84,28.09,26.49,27.389999,27.389999,486500.0,486500.0,0.55,2.049,27.32333,"March 30, 21",0.02049
12,SGFY,2021-03-29,26.629999,27.77,26.15,26.709999,26.709999,409100.0,409100.0,0.08,0.3,26.87667,"March 29, 21",0.003
13,SGFY,2021-03-26,27.370001,28.969999,25.799999,26.99,26.99,372800.0,372800.0,-0.38,-1.388,27.25333,"March 26, 21",-0.01388
14,SGFY,2021-03-25,22.959999,27.684,22.129999,27.52,27.52,1014200.0,1014200.0,4.56,19.861,25.778,"March 25, 21",0.19861
15,SGFY,2021-03-24,25.790001,25.889999,23.969999,24.290001,24.290001,734800.0,734800.0,-1.5,-5.816,24.71667,"March 24, 21",-0.05816
16,SGFY,2021-03-23,25.4,25.780001,24.24,25.41,25.41,871900.0,871900.0,0.01,0.039,25.14333,"March 23, 21",0.00039
17,SGFY,2021-03-22,26.860001,27.73,25.219999,25.25,25.25,640500.0,640500.0,-1.61,-5.994,26.06667,"March 22, 21",-0.05994
18,SGFY,2021-03-19,27.5,28.68,26.379999,26.459999,26.459999,2861500.0,2861500.0,-1.04,-3.782,27.17333,"March 19, 21",-0.03782
19,SGFY,2021-03-18,29.32,30.32,27.5,27.530001,27.530001,630200.0,630200.0,-1.79,-6.105,28.45,"March 18, 21",-0.06105
20,SGFY,2021-03-17,29.639999,30.565001,29.285999,29.780001,29.780001,535300.0,535300.0,0.14,0.472,29.877,"March 17, 21",0.00472
21,SGFY,2021-03-16,30.1,30.98,30.0,30.42,30.42,272500.0,272500.0,0.32,1.063,30.46667,"March 16, 21",0.01063
22,SGFY,2021-03-15,30.1,30.99,29.780001,30.530001,30.530001,295500.0,295500.0,0.43,1.429,30.43333,"March 15, 21",0.01429
23,SGFY,2021-03-12,29.299999,30.52,28.309999,30.17,30.17,223400.0,223400.0,0.87,2.969,29.66667,"March 12, 21",0.02969
24,SGFY,2021-03-11,28.280001,31.040001,28.280001,29.49,29.49,477100.0,477100.0,1.21,4.279,29.60333,"March 11, 21",0.04279
25,SGFY,2021-03-10,29.15,29.860001,27.635,28.120001,28.120001,446200.0,446200.0,-1.03,-3.533,28.53833,"March 10, 21",-0.03533
