,symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,UWMC,2021-04-15,7.54,7.85,7.36,7.58,7.58,6552100.0,6552100.0,0.04,0.531,7.59667,"April 15, 21",0.00531
1,UWMC,2021-04-14,7.58,7.685,7.49,7.59,7.59,3520800.0,3520800.0,0.01,0.132,7.58833,"April 14, 21",0.00132
2,UWMC,2021-04-13,7.51,7.78,7.47,7.69,7.69,2941600.0,2941600.0,0.18,2.397,7.64667,"April 13, 21",0.02397
3,UWMC,2021-04-12,7.71,7.773,7.5,7.51,7.51,3447400.0,3447400.0,-0.2,-2.594,7.59433,"April 12, 21",-0.02594
4,UWMC,2021-04-09,7.82,7.86,7.71,7.71,7.71,2549900.0,2549900.0,-0.11,-1.407,7.76,"April 09, 21",-0.01407
5,UWMC,2021-04-08,7.76,7.928,7.72,7.82,7.82,2852700.0,2852700.0,0.06,0.773,7.82267,"April 08, 21",0.00773
6,UWMC,2021-04-07,7.96,8.03,7.72,7.75,7.75,3556000.0,3556000.0,-0.21,-2.638,7.83333,"April 07, 21",-0.02638
7,UWMC,2021-04-06,7.7,7.95,7.56,7.94,7.94,5334900.0,5334900.0,0.24,3.117,7.81667,"April 06, 21",0.03117
8,UWMC,2021-04-05,7.85,7.9,7.65,7.75,7.75,3365200.0,3365200.0,-0.1,-1.274,7.76667,"April 05, 21",-0.01274
9,UWMC,2021-04-01,8.0,8.07,7.72,7.75,7.75,4448100.0,4448100.0,-0.25,-3.125,7.84667,"April 01, 21",-0.03125
10,UWMC,2021-03-31,7.83,8.02,7.75,7.93,7.93,3785300.0,3785300.0,0.1,1.277,7.9,"March 31, 21",0.01277
11,UWMC,2021-03-30,7.95,7.95,7.54,7.86,7.86,5557100.0,5557100.0,-0.09,-1.132,7.78333,"March 30, 21",-0.01132
12,UWMC,2021-03-29,7.91,8.18,7.81,7.94,7.94,7042400.0,7042400.0,0.03,0.379,7.97667,"March 29, 21",0.00379
13,UWMC,2021-03-26,8.27,8.29,7.76,7.98,7.98,7466700.0,7466700.0,-0.29,-3.507,8.01,"March 26, 21",-0.03507
14,UWMC,2021-03-25,8.0,8.25,7.7,8.19,8.19,6554900.0,6554900.0,0.19,2.375,8.04667,"March 25, 21",0.02375
15,UWMC,2021-03-24,8.45,8.69,8.01,8.13,8.13,9431100.0,9431100.0,-0.32,-3.787,8.27667,"March 24, 21",-0.03787
16,UWMC,2021-03-23,8.7,8.85,8.33,8.44,8.44,5158600.0,5158600.0,-0.26,-2.989,8.54,"March 23, 21",-0.02989
17,UWMC,2021-03-22,8.45,8.79,8.27,8.78,8.78,7093100.0,7093100.0,0.33,3.905,8.61333,"March 22, 21",0.03905
18,UWMC,2021-03-19,9.49,9.51,8.72,8.86,8.86,14065300.0,14065300.0,-0.63,-6.639,9.03,"March 19, 21",-0.06639
19,UWMC,2021-03-18,9.4,10.05,8.855,8.98,8.98,15699400.0,15699400.0,-0.42,-4.468,9.295,"March 18, 21",-0.04468
20,UWMC,2021-03-17,8.5,9.14,8.21,9.05,9.05,10812000.0,10812000.0,0.55,6.471,8.8,"March 17, 21",0.06471
21,UWMC,2021-03-16,8.49,8.58,8.31,8.46,8.46,4827100.0,4827100.0,-0.03,-0.353,8.45,"March 16, 21",-0.00353
22,UWMC,2021-03-15,8.39,8.68,8.22,8.4,8.4,5368400.0,5368400.0,0.01,0.119,8.43333,"March 15, 21",0.00119
23,UWMC,2021-03-12,8.6,8.6,8.23,8.3,8.3,6942100.0,6942100.0,-0.3,-3.488,8.37667,"March 12, 21",-0.03488
24,UWMC,2021-03-11,8.78,8.84,8.45,8.65,8.65,5201200.0,5201200.0,-0.13,-1.481,8.64667,"March 11, 21",-0.01481
25,UWMC,2021-03-10,8.71,9.228,8.53,8.58,8.58,8571400.0,8571400.0,-0.13,-1.493,8.77933,"March 10, 21",-0.01493
26,UWMC,2021-03-09,8.25,8.94,8.15,8.68,8.68,8539800.0,8539800.0,0.43,5.212,8.59,"March 09, 21",0.05212
27,UWMC,2021-03-08,8.77,8.78,8.1,8.16,8.059999,8279400.0,8279400.0,-0.61,-6.956,8.34667,"March 08, 21",-0.06956
28,UWMC,2021-03-05,8.86,8.86,7.75,8.68,8.573627,12503500.0,12503500.0,-0.18,-2.032,8.43,"March 05, 21",-0.02032
29,UWMC,2021-03-04,9.94,10.91,8.35,8.73,8.623014,27170600.0,27170600.0,-1.21,-12.173,9.33,"March 04, 21",-0.12173
30,UWMC,2021-03-03,12.17,12.45,9.32,9.62,9.502108,94546500.0,94546500.0,-2.55,-20.953,10.46333,"March 03, 21",-0.20953
31,UWMC,2021-03-02,8.14,9.65,8.04,9.13,9.018113,40070800.0,40070800.0,0.99,12.162,8.94,"March 02, 21",0.12162
32,UWMC,2021-03-01,7.98,7.99,7.57,7.63,7.536495,5478600.0,5478600.0,-0.35,-4.386,7.73,"March 01, 21",-0.04386
33,UWMC,2021-02-26,7.69,7.79,7.24,7.57,7.477231,5136300.0,5136300.0,-0.12,-1.56,7.53333,"February 26, 21",-0.0156
34,UWMC,2021-02-25,8.01,8.06,7.5,7.64,7.546372,5067600.0,5067600.0,-0.37,-4.619,7.73333,"February 25, 21",-0.04619
35,UWMC,2021-02-24,8.05,8.23,7.82,7.96,7.862451,4334000.0,4334000.0,-0.09,-1.118,8.00333,"February 24, 21",-0.01118
36,UWMC,2021-02-23,7.59,8.1,7.37,8.04,7.941471,5907400.0,5907400.0,0.45,5.929,7.83667,"February 23, 21",0.05929
37,UWMC,2021-02-22,8.16,8.26,7.92,8.01,7.911839,6828000.0,6828000.0,-0.15,-1.838,8.06333,"February 22, 21",-0.01838
38,UWMC,2021-02-19,8.65,8.68,8.1,8.32,8.218039,9750800.0,9750800.0,-0.33,-3.815,8.36667,"February 19, 21",-0.03815
39,UWMC,2021-02-18,8.69,8.75,8.45,8.61,8.504485,5514300.0,5514300.0,-0.08,-0.921,8.60333,"February 18, 21",-0.00921
40,UWMC,2021-02-17,8.89,8.98,8.68,8.86,8.751421,6584300.0,6584300.0,-0.03,-0.337,8.84,"February 17, 21",-0.00337
41,UWMC,2021-02-16,9.33,9.35,8.92,8.97,8.860074,6600100.0,6600100.0,-0.36,-3.859,9.08,"February 16, 21",-0.03859
42,UWMC,2021-02-12,9.06,9.23,8.94,9.02,8.909461,4182100.0,4182100.0,-0.04,-0.442,9.06333,"February 12, 21",-0.00442
43,UWMC,2021-02-11,8.98,9.37,8.81,9.2,9.087255,6933800.0,6933800.0,0.22,2.45,9.12667,"February 11, 21",0.0245
44,UWMC,2021-02-10,9.31,9.4,8.9,9.09,8.978603,6216800.0,6216800.0,-0.22,-2.363,9.13,"February 10, 21",-0.02363
45,UWMC,2021-02-09,9.43,9.48,9.15,9.28,9.166274,6695200.0,6695200.0,-0.15,-1.591,9.30333,"February 09, 21",-0.01591
46,UWMC,2021-02-08,9.84,9.85,9.35,9.51,9.393456,7874700.0,7874700.0,-0.33,-3.354,9.57,"February 08, 21",-0.03354
47,UWMC,2021-02-05,10.18,10.195,9.86,9.99,9.867574,5858500.0,5858500.0,-0.19,-1.866,10.015,"February 05, 21",-0.01866
48,UWMC,2021-02-04,11.65,11.68,10.2,10.39,10.262672,10575200.0,10575200.0,-1.26,-10.815,10.75667,"February 04, 21",-0.10815
49,UWMC,2021-02-03,10.95,11.68,10.75,11.38,11.24054,11675800.0,11675800.0,0.43,3.927,11.27,"February 03, 21",0.03927
50,UWMC,2021-02-02,10.48,10.5,10.2,10.33,10.203407,4062600.0,4062600.0,-0.15,-1.431,10.34333,"February 02, 21",-0.01431
51,UWMC,2021-02-01,10.15,10.28,9.85,10.1,9.976226,3078400.0,3078400.0,-0.05,-0.493,10.07667,"February 01, 21",-0.00493
52,UWMC,2021-01-29,9.96,10.25,9.76,9.91,9.788554,3937300.0,3937300.0,-0.05,-0.502,9.97333,"January 29, 21",-0.00502
53,UWMC,2021-01-28,10.15,10.25,9.87,9.96,9.837941,4151600.0,4151600.0,-0.19,-1.872,10.02667,"January 28, 21",-0.01872
54,UWMC,2021-01-27,9.43,11.198,9.2,10.26,10.134265,10008000.0,10008000.0,0.83,8.802,10.21933,"January 27, 21",0.08802
55,UWMC,2021-01-26,10.7,10.71,10.02,10.07,9.946593,9936100.0,9936100.0,-0.63,-5.888,10.26667,"January 26, 21",-0.05888
56,UWMC,2021-01-25,11.14,11.2,10.5,10.85,10.717034,11166000.0,11166000.0,-0.29,-2.603,10.85,"January 25, 21",-0.02603
57,UWMC,2021-01-22,11.95,12.35,10.93,11.35,11.210907,12684300.0,12684300.0,-0.6,-5.021,11.54333,"January 22, 21",-0.05021
58,UWMC,2021-01-21,11.4,11.96,10.85,11.54,11.398579,14422500.0,14422500.0,0.14,1.228,11.45,"January 21, 21",0.01228
59,UWMC,2021-01-20,12.44,12.44,11.55,11.7,11.556618,13293700.0,13293700.0,-0.74,-5.949,11.89667,"January 20, 21",-0.05949
60,UWMC,2021-01-19,12.64,12.72,12.156,12.35,12.198652,8718600.0,8718600.0,-0.29,-2.294,12.40867,"January 19, 21",-0.02294
61,UWMC,2021-01-15,12.835,12.85,12.16,12.39,12.238162,7429600.0,7429600.0,-0.445,-3.467,12.46667,"January 15, 21",-0.03467
62,UWMC,2021-01-14,12.62,13.1,12.42,12.81,12.653015,7962100.0,7962100.0,0.19,1.506,12.77667,"January 14, 21",0.01506
63,UWMC,2021-01-13,12.78,12.825,12.365,12.6,12.445589,6465500.0,6465500.0,-0.18,-1.408,12.59667,"January 13, 21",-0.01408
64,UWMC,2021-01-12,12.868,13.2,12.51,12.87,12.712279,7732100.0,7732100.0,0.002,0.016,12.86,"January 12, 21",0.00016
65,UWMC,2021-01-11,13.17,13.59,12.7,12.9,12.741912,8248600.0,8248600.0,-0.27,-2.05,13.06333,"January 11, 21",-0.0205
